,treatment,pageviews,calls,reservations,business_id,business_type,chain,independent,treatment_chain
71,0,627,38,41,72,chain,1,0,0
72,0,617,39,40,73,chain,1,0,0
73,0,579,44,41,74,chain,1,0,0
74,0,579,40,39,75,chain,1,0,0
75,0,516,40,39,76,chain,1,0,0
76,0,559,35,45,77,chain,1,0,0
77,0,612,38,41,78,chain,1,0,0
78,0,538,31,32,79,chain,1,0,0
79,0,532,43,38,80,chain,1,0,0
80,0,562,40,37,81,chain,1,0,0
81,0,594,43,37,82,chain,1,0,0
82,0,532,34,38,83,chain,1,0,0
83,0,550,42,45,84,chain,1,0,0
84,0,654,45,43,85,chain,1,0,0
85,0,556,31,42,86,chain,1,0,0
86,0,660,49,47,87,chain,1,0,0
87,0,622,38,40,88,chain,1,0,0
88,0,556,36,38,89,chain,1,0,0
89,0,552,43,35,90,chain,1,0,0
90,0,605,44,36,91,chain,1,0,0
91,0,570,40,45,92,chain,1,0,0
92,0,488,42,42,93,chain,1,0,0
93,0,678,50,45,94,chain,1,0,0
94,0,573,47,38,95,chain,1,0,0
95,0,524,29,42,96,chain,1,0,0
96,0,631,39,39,97,chain,1,0,0
97,0,640,42,39,98,chain,1,0,0
98,0,617,39,40,99,chain,1,0,0
99,0,547,35,34,100,chain,1,0,0
100,0,666,42,45,101,chain,1,0,0
101,0,656,39,41,102,chain,1,0,0
102,0,684,45,47,103,chain,1,0,0
103,0,569,47,40,104,chain,1,0,0
104,0,629,45,35,105,chain,1,0,0
105,0,688,40,45,106,chain,1,0,0
106,0,581,44,46,107,chain,1,0,0
107,0,570,41,34,108,chain,1,0,0
108,0,566,40,41,109,chain,1,0,0
109,0,559,42,38,110,chain,1,0,0
110,0,602,35,34,111,chain,1,0,0
111,0,549,38,34,112,chain,1,0,0
112,0,564,29,42,113,chain,1,0,0
113,0,618,39,38,114,chain,1,0,0
114,0,499,42,35,115,chain,1,0,0
115,0,659,41,39,116,chain,1,0,0
116,0,655,47,34,117,chain,1,0,0
117,0,666,43,44,118,chain,1,0,0
118,0,551,40,39,119,chain,1,0,0
119,0,548,43,45,120,chain,1,0,0
120,0,557,39,29,121,chain,1,0,0
121,0,573,35,43,122,chain,1,0,0
122,0,621,41,44,123,chain,1,0,0
123,0,541,43,40,124,chain,1,0,0
124,0,518,29,28,125,chain,1,0,0
125,0,608,34,38,126,chain,1,0,0
126,0,559,38,42,127,chain,1,0,0
127,0,598,36,37,128,chain,1,0,0
128,0,669,50,42,129,chain,1,0,0
129,0,641,42,47,130,chain,1,0,0
130,0,608,37,48,131,chain,1,0,0
131,0,526,38,34,132,chain,1,0,0
132,0,526,36,43,133,chain,1,0,0
133,0,561,40,35,134,chain,1,0,0
134,0,619,41,35,135,chain,1,0,0
135,0,620,38,45,136,chain,1,0,0
136,0,646,39,29,137,chain,1,0,0
137,0,580,37,32,138,chain,1,0,0
138,0,639,43,43,139,chain,1,0,0
139,0,538,36,40,140,chain,1,0,0
140,0,700,47,44,141,chain,1,0,0
141,0,587,33,45,142,chain,1,0,0
142,0,597,41,41,143,chain,1,0,0
143,0,502,35,38,144,chain,1,0,0
144,0,682,44,42,145,chain,1,0,0
145,0,622,47,35,146,chain,1,0,0
146,0,578,39,44,147,chain,1,0,0
147,0,550,34,41,148,chain,1,0,0
148,0,637,34,47,149,chain,1,0,0
149,0,590,37,35,150,chain,1,0,0
150,0,503,35,34,151,chain,1,0,0
151,0,694,33,40,152,chain,1,0,0
152,0,659,48,36,153,chain,1,0,0
153,0,578,34,27,154,chain,1,0,0
154,0,624,42,46,155,chain,1,0,0
155,0,593,41,36,156,chain,1,0,0
156,0,530,37,32,157,chain,1,0,0
157,0,528,38,35,158,chain,1,0,0
158,0,593,37,38,159,chain,1,0,0
159,0,633,41,46,160,chain,1,0,0
160,0,535,37,27,161,chain,1,0,0
161,0,591,46,39,162,chain,1,0,0
162,0,635,42,44,163,chain,1,0,0
163,0,545,25,38,164,chain,1,0,0
164,0,575,35,37,165,chain,1,0,0
165,0,651,39,45,166,chain,1,0,0
166,0,710,39,46,167,chain,1,0,0
167,0,548,41,42,168,chain,1,0,0
168,0,605,44,44,169,chain,1,0,0
169,0,562,38,36,170,chain,1,0,0
170,0,616,34,35,171,chain,1,0,0
171,0,533,40,42,172,chain,1,0,0
172,0,598,46,33,173,chain,1,0,0
173,0,609,43,44,174,chain,1,0,0
174,0,612,46,48,175,chain,1,0,0
175,0,703,51,41,176,chain,1,0,0
176,0,546,40,42,177,chain,1,0,0
177,0,646,48,42,178,chain,1,0,0
178,0,518,32,31,179,chain,1,0,0
179,0,594,43,29,180,chain,1,0,0
180,0,484,41,30,181,chain,1,0,0
181,0,679,50,50,182,chain,1,0,0
182,0,628,43,45,183,chain,1,0,0
183,0,543,33,29,184,chain,1,0,0
184,0,581,36,41,185,chain,1,0,0
185,0,708,47,38,186,chain,1,0,0
186,0,585,48,47,187,chain,1,0,0
187,0,613,36,46,188,chain,1,0,0
188,0,656,51,37,189,chain,1,0,0
189,0,612,38,41,190,chain,1,0,0
190,0,512,39,36,191,chain,1,0,0
191,0,467,31,37,192,chain,1,0,0
192,0,661,41,40,193,chain,1,0,0
193,0,545,41,46,194,chain,1,0,0
194,0,619,42,45,195,chain,1,0,0
195,0,656,38,46,196,chain,1,0,0
196,0,653,49,20,197,chain,1,0,0
197,0,556,37,37,198,chain,1,0,0
198,0,689,42,45,199,chain,1,0,0
199,0,540,33,31,200,chain,1,0,0
200,0,572,41,35,201,chain,1,0,0
201,0,568,45,47,202,chain,1,0,0
202,0,564,39,34,203,chain,1,0,0
203,0,533,33,36,204,chain,1,0,0
204,0,650,44,36,205,chain,1,0,0
205,0,593,40,44,206,chain,1,0,0
206,0,584,45,41,207,chain,1,0,0
207,0,630,49,36,208,chain,1,0,0
208,0,746,46,52,209,chain,1,0,0
209,0,588,36,45,210,chain,1,0,0
210,0,594,48,45,211,chain,1,0,0
211,0,516,41,44,212,chain,1,0,0
212,0,569,47,44,213,chain,1,0,0
213,0,686,40,47,214,chain,1,0,0
214,0,557,39,40,215,chain,1,0,0
215,0,621,44,42,216,chain,1,0,0
216,0,720,46,44,217,chain,1,0,0
217,0,607,44,38,218,chain,1,0,0
218,0,579,44,28,219,chain,1,0,0
219,0,537,36,35,220,chain,1,0,0
220,0,595,39,40,221,chain,1,0,0
221,0,695,41,41,222,chain,1,0,0
222,0,684,45,48,223,chain,1,0,0
223,0,620,36,40,224,chain,1,0,0
224,0,692,42,38,225,chain,1,0,0
225,0,484,28,26,226,chain,1,0,0
226,0,622,36,43,227,chain,1,0,0
227,0,533,33,35,228,chain,1,0,0
228,0,693,44,43,229,chain,1,0,0
229,0,567,44,40,230,chain,1,0,0
230,0,621,42,42,231,chain,1,0,0
231,0,610,44,44,232,chain,1,0,0
232,0,576,38,37,233,chain,1,0,0
233,0,576,47,35,234,chain,1,0,0
234,0,549,36,31,235,chain,1,0,0
235,0,559,44,29,236,chain,1,0,0
236,0,690,37,40,237,chain,1,0,0
237,0,600,41,41,238,chain,1,0,0
238,0,621,37,43,239,chain,1,0,0
239,0,610,45,41,240,chain,1,0,0
240,0,600,37,37,241,chain,1,0,0
241,0,648,45,34,242,chain,1,0,0
242,0,590,38,30,243,chain,1,0,0
243,0,628,51,41,244,chain,1,0,0
244,0,653,47,45,245,chain,1,0,0
245,0,563,43,37,246,chain,1,0,0
246,0,652,48,40,247,chain,1,0,0
247,0,711,47,49,248,chain,1,0,0
248,0,599,46,44,249,chain,1,0,0
249,0,614,33,35,250,chain,1,0,0
250,0,575,45,30,251,chain,1,0,0
251,0,579,32,38,252,chain,1,0,0
252,0,541,43,43,253,chain,1,0,0
253,0,593,47,40,254,chain,1,0,0
254,0,578,36,43,255,chain,1,0,0
255,0,614,41,50,256,chain,1,0,0
256,0,545,41,38,257,chain,1,0,0
257,0,610,39,30,258,chain,1,0,0
258,0,585,42,40,259,chain,1,0,0
259,0,588,37,42,260,chain,1,0,0
260,0,645,31,43,261,chain,1,0,0
261,0,518,38,33,262,chain,1,0,0
262,0,705,33,42,263,chain,1,0,0
263,0,615,44,36,264,chain,1,0,0
264,0,610,33,43,265,chain,1,0,0
265,0,597,37,39,266,chain,1,0,0
266,0,545,39,39,267,chain,1,0,0
267,0,578,38,37,268,chain,1,0,0
268,0,634,46,42,269,chain,1,0,0
269,0,559,40,39,270,chain,1,0,0
270,0,553,36,35,271,chain,1,0,0
271,0,659,44,46,272,chain,1,0,0
272,0,537,33,42,273,chain,1,0,0
273,0,580,50,38,274,chain,1,0,0
274,0,635,47,47,275,chain,1,0,0
275,0,635,45,49,276,chain,1,0,0
276,0,691,47,51,277,chain,1,0,0
277,0,637,32,48,278,chain,1,0,0
278,0,668,47,45,279,chain,1,0,0
279,0,588,44,39,280,chain,1,0,0
280,0,567,40,32,281,chain,1,0,0
281,0,654,44,49,282,chain,1,0,0
282,0,661,40,38,283,chain,1,0,0
283,0,640,45,46,284,chain,1,0,0
284,0,575,33,43,285,chain,1,0,0
285,0,579,40,40,286,chain,1,0,0
286,0,610,38,30,287,chain,1,0,0
287,0,615,31,41,288,chain,1,0,0
288,0,569,37,36,289,chain,1,0,0
289,0,632,38,48,290,chain,1,0,0
290,0,544,37,46,291,chain,1,0,0
291,0,586,38,37,292,chain,1,0,0
292,0,531,41,40,293,chain,1,0,0
293,0,671,41,43,294,chain,1,0,0
294,0,620,40,44,295,chain,1,0,0
295,0,580,38,30,296,chain,1,0,0
296,0,616,42,38,297,chain,1,0,0
297,0,666,40,40,298,chain,1,0,0
298,0,642,44,43,299,chain,1,0,0
299,0,609,41,41,300,chain,1,0,0
300,0,638,46,39,301,chain,1,0,0
301,0,658,42,43,302,chain,1,0,0
302,0,564,34,39,303,chain,1,0,0
303,0,537,38,44,304,chain,1,0,0
304,0,665,41,51,305,chain,1,0,0
305,0,577,39,36,306,chain,1,0,0
306,0,498,40,33,307,chain,1,0,0
307,0,642,41,41,308,chain,1,0,0
308,0,588,48,47,309,chain,1,0,0
309,0,633,38,36,310,chain,1,0,0
310,0,536,30,48,311,chain,1,0,0
311,0,531,37,41,312,chain,1,0,0
312,0,620,38,43,313,chain,1,0,0
313,0,722,45,56,314,chain,1,0,0
314,0,721,41,46,315,chain,1,0,0
315,0,575,30,30,316,chain,1,0,0
316,0,639,37,42,317,chain,1,0,0
317,0,592,36,44,318,chain,1,0,0
318,0,593,43,39,319,chain,1,0,0
319,0,612,48,44,320,chain,1,0,0
320,0,631,37,36,321,chain,1,0,0
321,0,631,46,43,322,chain,1,0,0
322,0,592,31,35,323,chain,1,0,0
323,0,593,41,37,324,chain,1,0,0
324,0,634,41,50,325,chain,1,0,0
325,0,632,49,43,326,chain,1,0,0
326,0,655,32,38,327,chain,1,0,0
327,0,663,37,44,328,chain,1,0,0
328,0,652,48,45,329,chain,1,0,0
329,0,620,39,42,330,chain,1,0,0
330,0,578,49,35,331,chain,1,0,0
331,0,571,37,39,332,chain,1,0,0
332,0,603,22,40,333,chain,1,0,0
333,0,588,37,41,334,chain,1,0,0
334,0,597,38,38,335,chain,1,0,0
335,0,600,43,45,336,chain,1,0,0
336,0,527,37,30,337,chain,1,0,0
337,0,663,44,47,338,chain,1,0,0
338,0,558,35,41,339,chain,1,0,0
339,0,538,43,39,340,chain,1,0,0
340,0,603,33,36,341,chain,1,0,0
341,0,610,37,40,342,chain,1,0,0
342,0,637,43,37,343,chain,1,0,0
343,0,649,40,34,344,chain,1,0,0
344,0,643,44,46,345,chain,1,0,0
345,0,680,36,46,346,chain,1,0,0
346,0,628,46,45,347,chain,1,0,0
347,0,706,48,42,348,chain,1,0,0
348,0,657,45,44,349,chain,1,0,0
349,0,542,34,32,350,chain,1,0,0
350,0,632,39,39,351,chain,1,0,0
351,0,604,48,39,352,chain,1,0,0
352,0,569,36,30,353,chain,1,0,0
353,0,607,35,36,354,chain,1,0,0
354,0,646,33,38,355,chain,1,0,0
355,0,673,44,45,356,chain,1,0,0
356,0,588,39,42,357,chain,1,0,0
357,0,574,41,46,358,chain,1,0,0
358,0,590,44,38,359,chain,1,0,0
359,0,633,44,41,360,chain,1,0,0
360,0,491,38,36,361,chain,1,0,0
361,0,575,39,48,362,chain,1,0,0
362,0,558,29,39,363,chain,1,0,0
363,0,529,32,39,364,chain,1,0,0
364,0,653,39,41,365,chain,1,0,0
365,0,631,45,40,366,chain,1,0,0
366,0,513,45,43,367,chain,1,0,0
367,0,693,39,35,368,chain,1,0,0
368,0,561,41,36,369,chain,1,0,0
369,0,618,37,40,370,chain,1,0,0
370,0,617,49,41,371,chain,1,0,0
371,0,564,38,28,372,chain,1,0,0
372,0,646,37,45,373,chain,1,0,0
373,0,621,43,46,374,chain,1,0,0
374,0,564,36,41,375,chain,1,0,0
375,0,499,31,43,376,chain,1,0,0
376,0,685,40,29,377,chain,1,0,0
377,0,614,40,52,378,chain,1,0,0
378,0,545,36,37,379,chain,1,0,0
379,0,522,32,33,380,chain,1,0,0
380,0,558,43,37,381,chain,1,0,0
381,0,585,36,43,382,chain,1,0,0
382,0,588,39,37,383,chain,1,0,0
383,0,483,30,38,384,chain,1,0,0
384,0,560,28,41,385,chain,1,0,0
385,0,561,40,35,386,chain,1,0,0
386,0,682,35,41,387,chain,1,0,0
387,0,600,36,51,388,chain,1,0,0
388,0,559,40,46,389,chain,1,0,0
389,0,584,39,41,390,chain,1,0,0
390,0,583,41,43,391,chain,1,0,0
391,0,533,35,30,392,chain,1,0,0
392,0,620,43,37,393,chain,1,0,0
393,0,554,37,43,394,chain,1,0,0
394,0,559,42,46,395,chain,1,0,0
395,0,632,43,39,396,chain,1,0,0
396,0,582,42,36,397,chain,1,0,0
397,0,632,53,38,398,chain,1,0,0
398,0,629,48,32,399,chain,1,0,0
399,0,632,35,41,400,chain,1,0,0
400,0,559,40,37,401,chain,1,0,0
401,0,608,39,46,402,chain,1,0,0
402,0,698,51,38,403,chain,1,0,0
403,0,707,46,49,404,chain,1,0,0
404,0,552,36,45,405,chain,1,0,0
405,0,670,39,45,406,chain,1,0,0
406,0,622,44,39,407,chain,1,0,0
407,0,669,35,38,408,chain,1,0,0
408,0,582,39,31,409,chain,1,0,0
409,0,607,43,38,410,chain,1,0,0
410,0,590,36,40,411,chain,1,0,0
411,0,648,36,36,412,chain,1,0,0
412,0,532,35,30,413,chain,1,0,0
413,0,611,43,42,414,chain,1,0,0
414,0,596,41,44,415,chain,1,0,0
415,0,563,43,36,416,chain,1,0,0
416,0,587,45,37,417,chain,1,0,0
417,0,628,42,42,418,chain,1,0,0
418,0,571,40,35,419,chain,1,0,0
419,0,577,40,33,420,chain,1,0,0
420,0,603,47,44,421,chain,1,0,0
421,0,581,41,40,422,chain,1,0,0
422,0,546,44,36,423,chain,1,0,0
423,0,598,45,45,424,chain,1,0,0
424,0,554,37,35,425,chain,1,0,0
425,0,625,43,41,426,chain,1,0,0
426,0,667,37,44,427,chain,1,0,0
427,0,638,33,44,428,chain,1,0,0
428,0,609,43,36,429,chain,1,0,0
429,0,636,49,37,430,chain,1,0,0
430,0,541,33,43,431,chain,1,0,0
431,0,550,32,44,432,chain,1,0,0
432,0,653,43,40,433,chain,1,0,0
433,0,605,36,41,434,chain,1,0,0
434,0,600,29,46,435,chain,1,0,0
435,0,516,34,31,436,chain,1,0,0
436,0,541,44,43,437,chain,1,0,0
437,0,651,39,46,438,chain,1,0,0
438,0,563,41,45,439,chain,1,0,0
439,0,629,44,46,440,chain,1,0,0
440,0,651,48,43,441,chain,1,0,0
441,0,578,30,37,442,chain,1,0,0
442,0,642,33,43,443,chain,1,0,0
443,0,515,43,36,444,chain,1,0,0
444,0,604,29,36,445,chain,1,0,0
445,0,613,40,36,446,chain,1,0,0
446,0,536,39,29,447,chain,1,0,0
447,0,506,29,41,448,chain,1,0,0
448,0,597,41,41,449,chain,1,0,0
449,0,687,45,46,450,chain,1,0,0
450,0,609,40,36,451,chain,1,0,0
451,0,549,41,34,452,chain,1,0,0
452,0,565,36,28,453,chain,1,0,0
453,0,572,39,30,454,chain,1,0,0
454,0,620,39,45,455,chain,1,0,0
455,0,600,32,33,456,chain,1,0,0
456,0,626,39,37,457,chain,1,0,0
457,0,575,37,38,458,chain,1,0,0
458,0,531,37,39,459,chain,1,0,0
459,0,685,37,43,460,chain,1,0,0
460,0,581,37,41,461,chain,1,0,0
461,0,582,48,43,462,chain,1,0,0
462,0,559,43,48,463,chain,1,0,0
463,0,555,42,43,464,chain,1,0,0
464,0,649,46,36,465,chain,1,0,0
465,0,585,38,46,466,chain,1,0,0
466,0,624,38,48,467,chain,1,0,0
467,0,518,30,31,468,chain,1,0,0
468,0,600,42,41,469,chain,1,0,0
469,0,614,41,50,470,chain,1,0,0
470,0,589,34,36,471,chain,1,0,0
471,0,602,42,43,472,chain,1,0,0
472,0,611,32,32,473,chain,1,0,0
473,0,613,50,43,474,chain,1,0,0
474,0,632,45,34,475,chain,1,0,0
475,0,720,41,41,476,chain,1,0,0
476,0,601,38,43,477,chain,1,0,0
477,0,585,39,45,478,chain,1,0,0
478,0,576,37,38,479,chain,1,0,0
479,0,563,39,37,480,chain,1,0,0
480,0,492,37,25,481,chain,1,0,0
481,0,575,35,38,482,chain,1,0,0
482,0,530,44,35,483,chain,1,0,0
483,0,541,37,38,484,chain,1,0,0
484,0,595,40,42,485,chain,1,0,0
485,0,556,47,38,486,chain,1,0,0
486,0,553,42,40,487,chain,1,0,0
487,0,657,35,45,488,chain,1,0,0
488,0,696,48,53,489,chain,1,0,0
489,0,602,39,35,490,chain,1,0,0
490,0,655,45,43,491,chain,1,0,0
491,0,696,50,41,492,chain,1,0,0
492,0,629,42,48,493,chain,1,0,0
493,0,543,40,38,494,chain,1,0,0
494,0,562,39,42,495,chain,1,0,0
495,0,714,41,48,496,chain,1,0,0
496,0,465,35,37,497,chain,1,0,0
497,0,663,40,42,498,chain,1,0,0
498,0,614,42,34,499,chain,1,0,0
499,0,607,37,33,500,chain,1,0,0
500,0,572,43,37,501,chain,1,0,0
501,0,625,47,46,502,chain,1,0,0
502,0,677,42,44,503,chain,1,0,0
503,0,547,44,47,504,chain,1,0,0
504,0,605,45,36,505,chain,1,0,0
505,0,658,37,47,506,chain,1,0,0
506,0,678,45,41,507,chain,1,0,0
507,0,633,46,43,508,chain,1,0,0
508,0,594,43,45,509,chain,1,0,0
509,0,654,28,43,510,chain,1,0,0
510,0,610,41,41,511,chain,1,0,0
511,0,611,32,36,512,chain,1,0,0
512,0,609,36,41,513,chain,1,0,0
513,0,677,38,41,514,chain,1,0,0
514,0,626,43,39,515,chain,1,0,0
515,0,631,43,47,516,chain,1,0,0
516,0,656,41,41,517,chain,1,0,0
517,0,609,36,39,518,chain,1,0,0
518,0,548,45,38,519,chain,1,0,0
519,0,690,48,42,520,chain,1,0,0
520,0,637,39,42,521,chain,1,0,0
521,0,540,45,44,522,chain,1,0,0
522,0,559,50,47,523,chain,1,0,0
523,0,615,43,37,524,chain,1,0,0
524,0,611,45,46,525,chain,1,0,0
525,0,654,42,45,526,chain,1,0,0
526,0,690,36,41,527,chain,1,0,0
527,0,590,35,30,528,chain,1,0,0
528,0,495,47,42,529,chain,1,0,0
529,0,543,44,38,530,chain,1,0,0
530,0,500,39,42,531,chain,1,0,0
531,0,542,41,31,532,chain,1,0,0
532,0,690,48,44,533,chain,1,0,0
533,0,717,49,42,534,chain,1,0,0
534,0,598,47,39,535,chain,1,0,0
535,0,612,45,39,536,chain,1,0,0
536,0,634,37,40,537,chain,1,0,0
537,0,575,46,41,538,chain,1,0,0
538,0,630,38,44,539,chain,1,0,0
539,0,569,41,47,540,chain,1,0,0
540,0,635,46,48,541,chain,1,0,0
541,0,595,32,34,542,chain,1,0,0
542,0,690,44,47,543,chain,1,0,0
543,0,580,45,40,544,chain,1,0,0
544,0,715,41,44,545,chain,1,0,0
545,0,564,42,40,546,chain,1,0,0
546,0,625,40,38,547,chain,1,0,0
547,0,580,34,37,548,chain,1,0,0
548,0,614,45,40,549,chain,1,0,0
549,0,555,39,36,550,chain,1,0,0
550,0,652,49,41,551,chain,1,0,0
551,0,643,41,43,552,chain,1,0,0
552,0,670,43,43,553,chain,1,0,0
553,0,731,44,42,554,chain,1,0,0
554,0,610,35,38,555,chain,1,0,0
555,0,603,40,31,556,chain,1,0,0
556,0,596,40,36,557,chain,1,0,0
557,0,559,36,41,558,chain,1,0,0
558,0,641,39,41,559,chain,1,0,0
559,0,648,43,37,560,chain,1,0,0
560,0,629,43,47,561,chain,1,0,0
561,0,564,39,38,562,chain,1,0,0
562,0,677,29,38,563,chain,1,0,0
563,0,546,49,41,564,chain,1,0,0
564,0,607,38,39,565,chain,1,0,0
565,0,664,34,34,566,chain,1,0,0
566,0,583,36,35,567,chain,1,0,0
567,0,697,45,44,568,chain,1,0,0
568,0,637,39,42,569,chain,1,0,0
569,0,574,39,43,570,chain,1,0,0
570,0,655,35,43,571,chain,1,0,0
571,0,479,39,30,572,chain,1,0,0
572,0,548,32,43,573,chain,1,0,0
573,0,596,37,42,574,chain,1,0,0
574,0,581,43,41,575,chain,1,0,0
575,0,497,40,32,576,chain,1,0,0
576,0,631,41,43,577,chain,1,0,0
577,0,515,39,43,578,chain,1,0,0
578,0,647,36,34,579,chain,1,0,0
579,0,520,43,33,580,chain,1,0,0
580,0,601,36,46,581,chain,1,0,0
581,0,597,39,47,582,chain,1,0,0
582,0,474,45,36,583,chain,1,0,0
583,0,601,41,41,584,chain,1,0,0
584,0,559,34,35,585,chain,1,0,0
585,0,616,45,45,586,chain,1,0,0
586,0,572,44,43,587,chain,1,0,0
587,0,620,30,46,588,chain,1,0,0
588,0,582,34,43,589,chain,1,0,0
589,0,629,46,48,590,chain,1,0,0
590,0,533,35,31,591,chain,1,0,0
591,0,575,42,40,592,chain,1,0,0
592,0,593,46,46,593,chain,1,0,0
593,0,638,42,42,594,chain,1,0,0
594,0,566,44,40,595,chain,1,0,0
595,0,643,37,44,596,chain,1,0,0
596,0,637,37,40,597,chain,1,0,0
597,0,592,41,43,598,chain,1,0,0
598,0,684,43,40,599,chain,1,0,0
599,0,524,35,40,600,chain,1,0,0
600,0,684,42,45,601,chain,1,0,0
601,0,571,37,39,602,chain,1,0,0
602,0,552,30,43,603,chain,1,0,0
603,0,575,36,37,604,chain,1,0,0
604,0,584,30,35,605,chain,1,0,0
605,0,637,34,39,606,chain,1,0,0
606,0,623,43,30,607,chain,1,0,0
607,0,604,38,39,608,chain,1,0,0
608,0,643,37,36,609,chain,1,0,0
609,0,566,40,39,610,chain,1,0,0
610,0,635,43,41,611,chain,1,0,0
611,0,631,40,42,612,chain,1,0,0
612,0,544,51,41,613,chain,1,0,0
613,0,618,47,42,614,chain,1,0,0
614,0,535,34,45,615,chain,1,0,0
615,0,564,38,28,616,chain,1,0,0
616,0,702,41,35,617,chain,1,0,0
617,0,621,49,47,618,chain,1,0,0
618,0,590,41,37,619,chain,1,0,0
619,0,649,38,38,620,chain,1,0,0
620,0,560,45,40,621,chain,1,0,0
621,0,533,39,32,622,chain,1,0,0
622,0,623,54,37,623,chain,1,0,0
623,0,526,31,36,624,chain,1,0,0
624,0,566,47,38,625,chain,1,0,0
625,0,504,40,31,626,chain,1,0,0
626,0,529,37,36,627,chain,1,0,0
627,0,578,38,42,628,chain,1,0,0
628,0,601,41,35,629,chain,1,0,0
629,0,605,47,37,630,chain,1,0,0
630,0,562,35,39,631,chain,1,0,0
631,0,622,40,39,632,chain,1,0,0
632,0,610,44,35,633,chain,1,0,0
633,0,627,32,47,634,chain,1,0,0
634,0,578,48,42,635,chain,1,0,0
635,0,568,39,46,636,chain,1,0,0
636,0,662,45,46,637,chain,1,0,0
637,0,589,39,37,638,chain,1,0,0
638,0,665,42,39,639,chain,1,0,0
639,0,528,35,32,640,chain,1,0,0
640,0,649,45,40,641,chain,1,0,0
641,0,599,41,47,642,chain,1,0,0
642,0,621,44,27,643,chain,1,0,0
643,0,629,41,48,644,chain,1,0,0
644,0,630,40,33,645,chain,1,0,0
645,0,583,34,41,646,chain,1,0,0
646,0,510,40,31,647,chain,1,0,0
647,0,628,33,42,648,chain,1,0,0
648,0,605,39,50,649,chain,1,0,0
649,0,610,42,37,650,chain,1,0,0
650,0,648,43,47,651,chain,1,0,0
651,0,577,46,39,652,chain,1,0,0
652,0,579,38,41,653,chain,1,0,0
653,0,549,40,39,654,chain,1,0,0
654,0,551,45,39,655,chain,1,0,0
655,0,509,40,43,656,chain,1,0,0
656,0,574,35,41,657,chain,1,0,0
657,0,664,44,46,658,chain,1,0,0
658,0,585,41,34,659,chain,1,0,0
659,0,580,39,34,660,chain,1,0,0
660,0,638,44,44,661,chain,1,0,0
661,0,576,34,38,662,chain,1,0,0
662,0,587,32,39,663,chain,1,0,0
