age,CHI_Month_0,CHI_0_1,Support_Cases_0,Support_Cases_0_1,SP_0,SP_0_1,Logins,Blog,Views,LastLogin,churn
41,8,0,0,0,0,0,0,0,0,31,1
43,105,0,0,0,0,0,4,0,0,2,0
42,33,12,0,0,0,0,2,0,1,5,0
43,93,20,0,0,0,0,4,0,"3,745.00",4,0
42,80,8,0,0,0,0,0,0,16,21,0
42,81,0,0,0,0,0,2,0,2,3,0
43,172,37,0,0,0,0,11,2,"3,460.00",2,0
42,36,4,0,0,0,0,1,0,3,27,0
43,188,0,0,1,0,3,5,0,"1,708.00",0,0
1,0,0,0,0,0,0,0,0,0,0,0
43,51,35,0,0,0,0,5,0,0,89,0
43,83,61,0,0,0,0,8,0,3,2,0
42,88,7,0,0,0,0,10,0,"2,611.00",1,0
42,40,0,0,0,0,0,1,0,3,23,0
43,68,1,0,0,0,0,3,0,0,67,0
42,0,0,0,0,0,0,0,0,0,31,0
43,136,9,0,0,0,0,21,0,200,5,0
43,171,47,3,3,3,3,85,0,3,0,0
42,63,20,0,0,0,0,4,0,0,31,0
43,63,24,0,0,0,0,0,0,0,31,0
43,122,44,0,1,0,3,3,3,705,4,0
42,60,0,1,1,3,3,30,0,0,0,0
42,76,8,0,0,0,0,12,0,"1,580.00",31,0
42,44,11,0,0,0,0,3,0,0,1,0
42,114,18,1,0,3,0,33,6,0,4,0
42,69,69,0,0,0,0,6,0,0,31,0
42,85,0,0,0,0,0,25,0,0,3,0
42,0,17,0,0,0,0,1,0,0,25,0
42,131,2,0,0,0,0,2,0,489,31,0
41,60,29,0,0,0,0,4,0,285,10,0
42,189,2,2,2,3,3,32,2,145,0,0
42,178,1,1,0,3,0,21,1,104,0,0
42,105,5,0,0,0,0,9,0,0,0,0
42,148,14,1,0,2,1,28,2,723,0,0
42,0,0,0,0,0,0,0,0,1,31,0
41,104,10,0,0,0,0,6,0,2,0,0
42,44,25,0,0,0,0,2,0,0,95,0
42,118,79,0,0,0,0,11,0,0,18,0
42,16,10,2,2,3,3,19,0,0,92,0
42,183,31,5,3,3,0,82,4,124,0,0
42,120,10,0,0,0,0,5,0,166,0,0
40,107,7,1,1,3,3,33,4,22,3,0
40,165,30,2,2,3,3,52,0,28,1,0
41,130,18,0,0,0,0,13,2,380,0,0
40,130,0,1,1,3,3,7,0,87,4,1
41,145,18,4,3,3,0,15,0,33,3,0
40,115,10,0,0,0,0,16,1,5,3,0
39,15,4,0,0,0,0,0,0,14,31,0
36,105,1,0,0,0,0,26,0,61,1,1
40,73,50,0,0,0,0,10,0,"1,300.00",31,0
13,121,15,0,0,0,0,1,1,266,0,0
13,3,0,2,1,3,3,19,0,0,16,0
7,141,22,2,1,3,0,70,0,72,3,0
14,165,67,2,1,3,0,97,15,1,9,0
14,36,44,0,1,0,3,6,0,150,2,0
12,143,37,0,0,0,0,50,3,18,28,1
14,0,0,0,0,0,0,0,0,0,30,0
14,124,6,0,0,0,0,7,0,28,7,0
14,150,50,0,0,0,0,13,2,76,0,0
14,109,3,0,0,0,0,2,0,463,9,0
13,118,1,1,1,3,3,41,2,5,0,0
12,215,8,2,1,3,1,17,4,"4,914.00",0,0
14,150,44,0,0,0,0,1,4,"14,868.00",16,0
11,158,32,0,0,0,0,33,0,41,0,0
11,87,20,0,0,0,0,27,0,76,0,0
14,173,9,1,1,3,0,27,0,785,0,0
12,119,16,0,0,0,0,45,2,301,0,0
13,167,10,0,0,0,0,10,0,29,3,0
14,115,16,0,0,0,0,8,0,11,7,0
13,165,77,0,1,0,3,42,0,117,4,0
14,59,11,0,0,0,0,72,0,11,2,0
13,0,0,0,0,0,0,0,0,1,31,1
14,5,21,0,0,0,0,1,0,711,15,0
14,162,53,0,0,0,0,23,2,4,18,0
14,174,3,0,3,0,3,30,2,26,0,0
14,192,8,1,0,3,1,84,1,5,0,0
14,162,5,2,2,3,0,1,0,224,4,0
14,172,3,1,2,3,0,39,0,229,0,0
14,167,7,1,1,3,3,39,7,436,0,0
8,129,9,0,1,0,3,61,0,182,2,0
14,78,6,0,0,0,0,9,0,9,0,0
14,53,27,0,0,0,0,0,0,13,7,0
14,75,9,0,0,0,0,13,0,8,29,0
14,26,1,0,0,0,0,4,0,10,3,1
13,0,22,0,0,0,0,0,0,4,30,0
13,120,44,0,0,0,0,49,1,99,0,0
12,178,33,5,1,3,0,1,2,114,1,0
13,188,1,0,1,0,3,8,1,41,8,0
1,0,0,0,0,0,0,0,0,0,0,0
14,133,0,2,2,3,3,39,0,45,3,0
13,35,81,0,0,0,0,12,2,8,7,0
12,113,2,0,1,0,3,3,1,11,1,0
13,171,21,0,0,0,0,54,3,"1,091.00",1,0
10,71,0,1,0,3,0,6,0,10,1,0
14,165,30,0,1,0,3,41,2,54,2,0
14,93,27,0,2,0,3,37,0,333,0,0
14,138,7,1,1,3,3,39,3,31,3,0
13,151,1,0,0,0,0,4,1,2,14,0
1,0,0,0,0,0,0,0,0,0,0,0
14,144,28,2,3,3,0,7,3,509,6,0
11,59,0,0,0,0,0,2,0,84,3,0
12,0,0,0,0,0,0,0,0,0,31,1
14,131,9,0,0,0,0,9,1,40,1,0
14,134,1,0,0,0,0,3,0,19,0,0
13,106,8,3,1,3,0,20,1,29,0,0
12,130,13,1,3,3,0,20,1,278,2,0
13,88,9,0,0,0,0,11,0,28,2,0
13,187,47,4,2,3,0,28,1,44,0,0
13,176,14,0,0,0,0,15,4,102,0,0
14,86,8,0,0,0,0,8,4,0,4,0
12,70,35,0,0,0,0,0,0,26,30,1
13,147,1,2,2,3,3,24,0,214,1,1
14,89,56,0,0,0,0,6,1,30,30,0
14,137,28,0,0,0,0,49,2,34,0,0
13,39,41,2,2,3,3,66,1,10,109,0
12,6,36,0,0,0,0,3,0,0,5,0
14,0,0,0,0,0,0,4,0,0,31,0
14,138,15,1,1,3,3,34,6,835,9,0
14,128,3,0,1,0,3,39,0,105,0,0
10,177,19,0,1,0,3,18,0,43,0,0
14,140,0,0,0,0,0,50,0,104,0,0
5,112,3,0,2,0,3,36,2,"1,490.00",0,0
13,0,0,0,0,0,0,0,0,2,31,0
12,0,0,0,0,0,0,0,0,8,31,0
14,68,10,6,6,3,3,48,0,681,3,0
14,130,0,0,0,0,0,4,0,"1,603.00",3,0
14,145,11,3,7,3,0,25,1,244,1,0
12,77,5,2,1,3,0,1,5,1,5,1
14,116,8,0,0,0,0,1,2,20,8,0
18,155,13,0,0,0,0,76,3,63,0,1
14,136,105,3,2,3,0,342,0,0,1,0
13,18,1,0,0,0,0,0,0,2,30,0
13,35,20,1,1,3,3,69,0,16,1,0
13,41,29,4,3,3,0,12,1,5,2,0
13,165,0,0,0,0,0,6,1,"5,322.00",0,0
12,180,12,3,5,3,0.1,34,2,57,0,0
14,61,49,0,0,0,0,15,5,21,4,0
13,143,4,0,0,0,0,1,0,55,20,0
13,78,2,0,0,0,0,16,2,1,11,1
14,32,44,2,2,3,3,0,3,3,3,0
14,85,17,4,5,3,0.1,83,0,3,0,0
11,231,0,1,2,3,0.3,48,1,321,0,0
14,148,19,0,0,0,0,4,0,27,20,0
14,14,101,0,0,0,0,4,1,16,9,1
12,0,8,0,1,0,3,3,0,8,7,1
13,40,12,0,0,0,0,20,0,1,17,0
8,16,2,0,0,0,0,4,0,5,32,0
13,94,35,0,1,0,3,13,0,139,3,0
10,34,10,0,0,0,0,0,0,128,31,0
12,0,35,0,0,0,0,12,0,"1,384.00",7,0
13,69,6,0,0,0,0,2,0,16,31,0
19,61,61,0,1,0,3,24,0,0,7,0
14,143,2,0,1,0,3,9,1,"2,260.00",0,0
11,101,50,0,0,0,0,46,2,154,5,0
12,142,25,1,2,3,0,25,4,2,2,0
14,120,0,0,0,0,0,2,0,66,2,0
13,61,1,0,0,0,0,2,0,44,30,0
14,61,26,0,0,0,0,0,0,10,31,0
13,118,12,0,1,0,3,41,0,1,2,0
6,20,1,0,0,0,0,2,0,15,4,0
13,76,4,0,0,0,0,5,1,1,0,0
12,0,0,0,0,0,0,0,0,0,31,1
14,0,42,0,0,0,0,14,0,14,1,0
12,0,16,0,0,0,0,4,0,12,2,1
13,42,17,0,0,0,0,6,0,15,9,0
14,105,57,0,0,0,0,41,4,37,1,0
14,99,10,0,0,0,0,3,0,974,9,0
12,122,2,0,0,0,0,16,1,18,4,0
12,105,36,0,1,0,3,1,1,66,6,1
14,156,4,0,0,0,0,28,2,169,0,0
9,75,1,0,0,0,0,67,0,22,12,0
5,118,6,0,1,0,3,29,5,191,5,0
14,56,4,0,0,0,0,2,0,786,4,0
14,177,6,2,1,3,0,1,14,"8,839.00",0,0
13,185,37,2,2,2.5,2.5,8,2,12,0,0
9,83,9,2,1,3,0,18,0,200,2,0
12,78,11,0,0,0,0,14,0,420,4,0
13,173,44,0,0,0,0,19,1,31,7,0
12,58,1,0,0,0,0,2,0,33,31,0
12,0,64,0,0,0,0,7,3,19,19,1
9,87,21,0,1,0,3,15,2,48,12,0
13,127,11,1,0,3,0,4,0,"7,323.00",1,0
12,186,2,1,0,3,0,85,0,34,1,0
13,54,19,0,0,0,0,0,1,426,31,1
14,129,13,0,0,0,0,11,2,165,2,0
13,73,10,0,0,0,0,3,0,156,9,0
13,82,38,0,0,0,0,0,1,10,6,0
14,65,40,1,1,3,3,10,0,313,3,0
14,58,52,0,1,0,3,32,0,55,1,0
12,58,41,0,0,0,0,31,5,8,9,1
14,0,0,0,0,0,0,0,0,0,31,0
14,143,5,0,0,0,0,23,1,196,0,0
14,25,24,0,0,0,0,2,0,0,31,0
14,173,3,3,0,3,0.3,8,0,754,0,0
14,3,0,1,1,3,3,3,0,0,31,0
13,79,5,0,2,0,3,2,0,65,0,0
14,78,33,0,2,0,3,17,5,703,10,0
14,95,3,0,0,0,0,12,0,76,2,0
13,139,29,0,0,0,0,4,1,244,1,0
12,88,0,0,0,0,0,4,0,146,2,0
13,167,3,1,1,2,2,43,2,227,0,0
12,203,25,7,6,2.9,0.1,88,2,"28,322.00",3,1
11,166,10,3,2,3,0,73,1,30,0,0
11,158,15,5,1,3,0,34,1,137,0,0
11,70,1,0,0,0,0,2,0,43,5,0
13,125,23,0,0,0,0,3,0,127,6,0
13,111,2,0,1,0,3,2,0,0,0,0
12,0,0,0,0,0,0,0,0,0,31,1
11,166,9,0,0,0,0,8,1,933,3,0
12,45,67,0,0,0,0,4,1,1,5,0
13,135,39,0,0,0,0,12,1,39,0,1
10,119,2,0,0,0,0,11,6,18,2,0
12,117,5,0,0,0,0,14,4,1,5,0
12,14,42,0,0,0,0,3,0,4,34,1
12,96,48,0,5,0,3,7,0,12,3,0
12,0,0,0,0,0,0,0,0,0,31,1
13,136,14,3,2,3,0,69,1,107,1,0
13,163,3,10,8,3,0,174,11,57,2,0
2,0,0,0,0,0,0,0,0,0,0,0
10,177,15,0,0,0,0,0,0,209,3,0
3,0,0,0,0,0,0,12,0,0,0,0
12,135,13,0,1,0,3,9,2,2,12,0
5,61,3,0,0,0,0,1,12,12,7,0
10,200,13,3,1,3,0,25,2,"2,388.00",0,0
13,155,20,1,1,2,2,200,0,"1,980.00",1,0
12,43,28,0,0,0,0,2,0,2,60,1
11,75,1,0,0,0,0,4,1,441,17,0
13,155,19,5,4,3.4,0.4,4,0,695,0,0
10,30,39,0,0,0,0,2,1,9,36,1
13,192,5,0,0,0,0,16,1,237,0,0
12,101,27,0,3,0,2.7,44,0,112,2,0
13,61,12,0,0,0,0,2,0,28,31,1
13,189,22,0,0,0,0,73,3,51,0,0
12,141,58,0,2,0,3,1,1,5,0,0
13,150,20,0,0,0,0,67,3,4,1,0
12,158,16,0,0,0,0,62,5,13,0,0
13,253,11,2,1,3,0,9,5,"1,113.00",0,0
11,124,11,0,1,0,3,22,1,30,1,0
13,128,18,0,0,0,0,2,2,31,6,1
13,83,38,0,0,0,0,4,0,49,31,0
13,55,35,0,0,0,0,12,0,0,31,0
10,121,47,2,0,3,0,0,1,"2,008.00",4,0
13,103,2,0,0,0,0,20,1,102,7,0
13,161,51,0,1,0,3,15,1,2,6,0
19,0,0,0,0,0,0,0,0,0,31,0
12,180,1,2,0,3,0.5,8,1,493,1,0
12,8,7,0,0,0,0,0,0,0,31,1
11,121,0,2,1,3,0,23,0,93,0,0
12,39,25,0,0,0,0,0,0,52,31,0
13,170,35,1,1,3,0,30,2,519,0,0
8,119,8,0,0,0,0,19,0,"1,025.00",3,0
5,0,43,2,1,3,0,27,1,8,5,0
13,122,28,0,0,0,0,0,3,60,0,0
12,98,14,0,0,0,0,3,0,5,0,0
11,168,8,0,1,0,3,11,1,115,1,0
13,252,13,8,2,3,0,36,1,728,0,0
12,5,31,0,0,0,0,1,0,38,4,1
13,0,0,0,0,0,0,2,0,4,31,0
13,221,36,0,3,0,3,37,1,178,0,0
13,0,21,0,1,0,3,10,0,6,5,0
13,0,0,0,0,0,0,0,0,8,31,0
13,70,21,0,0,0,0,6,0,173,30,0
13,154,2,0,0,0,0,25,1,26,3,0
12,61,1,0,0,0,0,4,0,29,11,0
13,157,2,2,2,3,3,80,1,232,2,0
13,41,10,0,0,0,0,0,0,22,31,0
13,73,19,2,2,3,3,61,0,67,9,0
10,0,0,0,0,0,0,0,0,0,31,0
13,131,4,0,0,0,0,48,0,13,3,0
13,0,25,0,0,0,0,2,0,0,27,0
13,96,11,0,0,0,0,19,0,17,0,0
13,0,0,0,0,0,0,0,0,0,31,0
13,201,1,10,1,3,0,56,0,"5,933.00",0,0
13,137,9,0,2,0,3,22,2,43,0,0
12,42,1,0,0,0,0,0,0,103,31,1
13,228,2,3,1,4,0.8,28,2,203,5,0
12,133,5,1,1,3,3,6,0,923,2,0
12,77,10,0,0,0,0,4,0,87,7,0
13,186,2,3,2,3,0,3,2,36,0,0
13,67,46,0,0,0,0,8,1,2,29,0
13,81,36,0,0,0,0,12,1,118,2,0
13,154,53,2,0,3,0,23,1,59,0,0
13,160,2,0,0,0,0,24,1,64,4,0
12,9,9,1,1,3,3,2,0,64,31,1
13,0,0,0,0,0,0,0,0,0,31,0
13,125,47,0,0,0,0,0,7,347,2,0
11,152,30,2,2,3,3,2,1,6,1,0
13,53,15,0,0,0,0,2,0,69,15,0
13,0,0,0,0,0,0,0,0,2,31,0
12,158,20,1,0,3,0,36,0,13,1,0
12,120,1,0,0,0,0,1,0,0,8,0
12,57,8,0,0,0,0,10,0,36,31,0
13,69,1,0,0,0,0,5,0,24,1,0
13,113,7,1,1,3,3,6,1,130,10,0
13,142,2,0,2,0,2.5,30,0,34,0,0
13,127,49,4,3,3,0,4,0,47,25,0
13,151,32,1,1,3,0,42,2,286,0,0
13,20,1,0,0,0,0,0,0,44,31,1
11,172,2,0,9,0,3,31,2,134,1,0
12,70,8,0,0,0,0,22,2,25,2,1
12,76,14,1,1,3,0,7,0,12,7,0
12,26,23,0,0,0,0,2,0,3,17,1
9,85,0,0,0,0,0,2,0,12,1,1
12,74,34,0,0,0,0,24,0,76,2,0
13,90,11,0,0,0,0,5,0,37,23,0
12,67,21,0,0,0,0,6,0,81,2,1
13,115,3,0,0,0,0,4,0,52,3,0
12,102,38,1,0,3,0,11,1,46,3,0
12,87,13,0,1,0,2,17,0,43,4,0
12,212,14,4,1,3,0,77,0,27,2,0
7,237,34,4,1,3,0,56,2,233,0,0
4,79,79,1,1,3,3,41,2,0,0,0
10,129,22,0,0,0,0,97,0,172,2,0
12,85,47,1,1,3,3,29,1,42,28,0
13,158,13,0,0,0,0,20,7,130,0,0
12,149,16,2,0,3,0,15,1,"1,583.00",0,0
13,110,15,3,3,3,3,10,1,15,0,1
12,205,0,0,1,0,2,46,1,412,1,1
12,148,2,0,0,0,0,12,0,229,0,0
12,0,0,0,0,0,0,0,0,367,31,0
13,43,25,0,0,0,0,1,0,1,24,0
11,220,25,0,0,0,0,32,3,180,0,0
12,158,40,1,1,3,3,28,1,167,1,0
11,105,11,0,1,0,3,17,0,72,2,0
11,48,21,0,1,0,3,10,1,30,15,0
11,184,31,2,0,3,0.5,13,1,152,3,0
12,159,17,0,0,0,0,14,2,"1,035.00",0,0
12,163,26,7,3,3,0,43,3,168,1,0
11,125,1,0,0,0,0,62,3,851,0,0
7,137,28,2,2,3,3,31,0,12,1,0
13,217,6,1,1,4,0.5,2,2,"6,593.00",0,0
13,98,7,0,0,0,0,16,0,8,8,0
12,0,0,0,0,0,0,0,0,0,31,0
12,206,16,1,1,3,3,41,0,388,0,0
11,68,0,0,0,0,0,8,0,58,11,0
13,164,9,0,0,0,0,30,3,102,0,0
12,98,2,0,0,0,0,3,0,785,0,0
12,132,9,0,0,0,0,8,3,94,6,0
12,127,7,2,2,2,2,54,0,82,2,1
13,81,22,2,2,3,3,22,0,0,1,0
13,118,33,0,0,0,0,12,1,18,5,0
12,62,0,0,0,0,0,14,0,6,2,0
13,122,2,0,0,0,0,26,0,31,0,0
13,37,28,0,0,0,0,0,0,16,31,0
13,153,9,0,0,0,0,23,2,138,2,0
12,134,26,0,0,0,0,35,1,123,23,0
12,94,47,0,1,0,3,16,1,83,1,0
12,279,6,6,0,3,0.3,37,6,"1,154.00",0,0
12,50,18,2,1,3,0,132,0,0,2,0
12,202,36,1,2,0,3,42,0,374,0,0
12,170,13,2,0,3.5,0.5,129,1,106,0,0
13,91,27,0,0,0,0,2,1,185,14,0
6,0,0,0,0,0,0,6,0,0,33,0
13,44,0,0,0,0,0,0,0,64,31,0
11,114,2,0,1,0,3,4,2,77,4,0
12,129,1,0,0,0,0,1,1,3,2,1
13,134,2,1,1,3,3,47,0,147,1,0
5,128,3,1,1,3,3,70,1,0,0,0
11,57,72,0,0,0,0,15,1,183,2,0
12,89,1,2,1,2.5,0.5,37,2,5,0,0
13,144,7,0,0,0,0,12,1,70,31,0
13,92,71,0,0,0,0,16,1,30,31,0
10,112,15,0,0,0,0,71,0,4,18,0
12,135,61,2,2,2.5,2.5,31,2,56,23,0
12,37,38,0,0,0,0,10,3,94,2,0
12,122,4,0,0,0,0,3,3,159,0,0
13,28,30,0,0,0,0,6,0,42,11,0
12,0,0,0,0,0,0,0,0,0,31,1
12,152,36,0,0,0,0,5,0,142,20,1
13,148,2,0,0,0,0,1,0,"1,055.00",0,0
13,0,0,1,1,0,0,24,0,0,31,0
12,128,45,0,0,0,0,10,1,24,0,0
5,40,8,0,0,0,0,14,0,6,4,0
12,90,53,0,0,0,0,13,0,0,6,0
12,26,0,0,0,0,0,0,0,9,31,0
11,120,23,0,0,0,0,9,2,219,5,0
12,231,6,1,1,3,0,65,2,"7,253.00",0,0
7,60,9,0,1,0,3,11,0,32,15,0
12,162,28,0,1,0,3,8,8,96,0,1
11,112,1,0,0,0,0,59,0,34,0,0
11,25,16,0,0,0,0,2,0,0,112,0
12,121,18,2,2,3,3,1,2,9,3,0
13,161,18,2,2,3,3,15,3,86,1,0
12,89,40,1,1,3,3,23,0,"1,620.00",0,0
13,159,65,0,1,0,3,23,5,178,0,0
12,111,35,0,0,0,0,111,3,43,2,0
13,171,32,0,0,0,0,27,3,"1,914.00",5,0
12,0,0,0,0,0,0,0,0,0,31,1
8,196,8,0,1,0,3,2,2,96,1,0
8,121,4,0,0,0,0,21,0,28,1,0
5,25,4,0,2,0,3,26,0,5,1,0
13,146,19,0,2,0,3,4,10,122,2,0
12,0,0,0,0,0,0,0,0,2,31,1
12,36,5,1,1,3,3,5,0,344,31,1
13,139,14,5,5,2.8,2.8,127,2,501,0,0
11,0,0,0,0,0,0,0,0,4,31,0
13,170,5,1,1,3,3,7,4,33,3,0
3,9,9,0,0,0,0,20,0,0,0,0
12,31,25,0,0,0,0,0,0,15,30,0
12,107,42,0,1,0,3,15,2,341,11,0
11,121,2,0,0,0,0,24,1,318,1,0
5,44,17,0,3,0,3,2,0,1,5,0
13,139,6,2,4,2.5,0.5,9,44,"1,734.00",0,0
12,85,12,1,1,3,3,3,0,1,2,0
12,92,1,0,0,0,0,3,0,42,10,0
13,151,3,1,1,3,0,1,1,166,0,0
12,36,38,1,4,3,0,32,2,80,1,0
13,3,3,0,0,0,0,1,0,9,6,0
12,106,2,0,0,0,0,22,1,2,1,1
