age,CHI_Month_0,CHI_0_1,Support_Cases_0,Support_Cases_0_1,SP_0,SP_0_1,Logins,Blog,Views,LastLogin,churn,,
 13.0 , 122.0 , 31.0 , 6.0 , 4.0 , 3.0 , -   , 94.0 , 4.0 , (1.0), (9.0), 1.0 ,,
 48.0 , 109.0 , 50.0 , -   , (1.0), -   , (2.0), 2.0 , 1.0 , (221.0), 13.0 , -   ,,
 43.0 , -   , -   , 1.0 , 1.0 , 2.0 , 2.0 , -   , -   , -   , 31.0 , -   ,,
 46.0 , 10.0 , 10.0 , -   , -   , -   , -   , 10.0 , -   , -   , 31.0 , -   ,,
 47.0 , 145.0 , 10.0 , -   , -   , -   , -   , 38.0 , -   ," (5,083.0)", -   , -   ,,
 48.0 , 108.0 , 33.0 , -   , -   , -   , -   , 6.0 , -   , 993.0 , 31.0 , -   ,,
 45.0 , 45.0 , -   , -   , -   , -   , -   , 7.0 , -   , (13.0), 3.0 , -   ,,
 47.0 , 193.0 , -   , -   , -   , -   , -   , 47.0 , 1.0 , 83.0 , (1.0), -   ,,
 47.0 , 101.0 , 39.0 , -   , -   , -   , -   , 24.0 , 1.0 , (2.0), 2.0 , -   ,,
 47.0 , 17.0 , (10.0), -   , -   , -   , -   , (4.0), -   , 2.0 , (10.0), -   ,,
 45.0 , 1.0 , (70.0), -   , -   , -   , -   , (7.0), (1.0), -   , 3.0 , -   ,,
 46.0 , 158.0 , 2.0 , -   , (1.0), -   , (3.0), 5.0 , (4.0), 12.0 , 3.0 , -   ,,
 38.0 , 198.0 , (15.0), -   , -   , -   , -   , 21.0 , -   , (172.0), -   , -   ,,
 38.0 , 77.0 , (2.0), -   , -   , -   , -   , (3.0), -   , 716.0 , (1.0), -   ,,
 47.0 , 82.0 , -   , -   , -   , -   , -   , 11.0 , -   , -   , 3.0 , -   ,,
 46.0 , 94.0 , 10.0 , 1.0 , 1.0 , 3.0 , 3.0 , 42.0 , -   , (63.0), (24.0), -   ,,
 28.0 , 152.0 , (4.0), -   , -   , -   , -   , 19.0 , -   , 9.0 , (2.0), -   ,,
 46.0 , 125.0 , 15.0 , 1.0 , 1.0 , 3.0 , 3.0 , 11.0 , -   , (100.0), 3.0 , -   ,,
 47.0 , 35.0 , -   , -   , -   , -   , -   , -   , -   , -   , 9.0 , -   ,,
 43.0 , 166.0 , (1.0), -   , -   , -   , -   , 10.0 , (1.0)," 1,304.0 ", (1.0), -   ,,
 46.0 , 61.0 , (11.0), 1.0 , 1.0 , 3.0 , 3.0 , 10.0 , -   , (35.0), 15.0 , -   ,,
 42.0 , 97.0 , 2.0 , -   , (1.0), -   , (3.0), (28.0), -   , -   , -   , -   ,,
 46.0 , 74.0 , -   , -   , -   , -   , -   , 1.0 , -   , -   , (3.0), -   ,,
 46.0 , 4.0 , 4.0 , 1.0 , 1.0 , 2.0 , 2.0 , 10.0 , -   , -   , 31.0 , -   ,,
 46.0 , 145.0 , -   , -   , -   , -   , -   , 98.0 , -   , 629.0 , -   , -   ,,
 45.0 , 75.0 , (17.0), -   , -   , -   , -   , (1.0), (1.0), -   , (3.0), -   ,,
 46.0 , 79.0 , 13.0 , -   , -   , -   , -   , (4.0), -   , 4.0 , (22.0), -   ,,
 46.0 , 175.0 , 10.0 , -   , -   , -   , -   , 22.0 , -   ," (1,419.0)", -   , -   ,,
 44.0 , -   , (12.0), -   , -   , -   , -   , (1.0), -   , -   , (90.0), 1.0 ,,
 46.0 , 6.0 , 6.0 , -   , -   , -   , -   , 10.0 , -   , -   , 31.0 , -   ,,
 46.0 , 85.0 , (36.0), -   , -   , -   , -   , 2.0 , (1.0), (37.0), (4.0), -   ,,
 45.0 , 59.0 , 41.0 , -   , -   , -   , -   , -   , -   , (57.0), 31.0 , -   ,,
 46.0 , 109.0 , (13.0), -   , -   , -   , -   , 1.0 , (2.0), 158.0 , (9.0), -   ,,
 44.0 , 87.0 , 45.0 , -   , -   , -   , -   , 10.0 , 1.0 , (4.0), 30.0 , -   ,,
 45.0 , 161.0 , (10.0), -   , -   , -   , -   , (10.0), (4.0), 71.0 , -   , -   ,,
 41.0 , -   , -   , -   , -   , -   , -   , -   , -   , 5.0 , 31.0 , -   ,,
 45.0 , 169.0 , (8.0), 9.0 , (5.0), 3.0 , -   , 54.0 , -   , 345.0 , -   , -   ,,
 44.0 , 88.0 , 22.0 , -   , (1.0), -   , (3.0), 30.0 , -   , (5.0), 2.0 , -   ,,
 28.0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 31.0 , -   ,,
 42.0 , 26.0 , (13.0), -   , -   , -   , -   , -   , -   , 16.0 , (5.0), 1.0 ,,
 38.0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 30.0 , -   ,,
 45.0 , 155.0 , (6.0), -   , -   , -   , -   , (1.0), (4.0), 127.0 , -   , -   ,,
 45.0 , 71.0 , (11.0), -   , -   , -   , -   , (15.0), (1.0), -   , -   , -   ,,
 40.0 , -   , (125.0), -   , -   , -   , -   , (8.0), -   , (216.0), 6.0 , -   ,,
 44.0 , -   , (6.0), -   , -   , -   , -   , (10.0), -   , -   , (72.0), -   ,,
 29.0 , 103.0 , (8.0), -   , -   , -   , -   , 3.0 , 3.0 , 15.0 , (70.0), -   ,,
 45.0 , 39.0 , 23.0 , -   , -   , -   , -   , 2.0 , -   , -   , 31.0 , -   ,,
 43.0 , 42.0 , 10.0 , -   , -   , -   , -   , 6.0 , -   , (6.0), 30.0 , -   ,,
 45.0 , 73.0 , (6.0), -   , -   , -   , -   , 6.0 , -   , (1.0), (24.0), -   ,,
 45.0 , 58.0 , 38.0 , -   , -   , -   , -   , 6.0 , -   , (20.0), 5.0 , -   ,,
 45.0 , 68.0 , (7.0), 1.0 , 1.0 , -   , -   , 22.0 , -   , (7.0), 31.0 , -   ,,
 45.0 , 89.0 , (5.0), -   , (2.0), -   , (3.0), (61.0), -   ," 1,013.0 ", -   , -   ,,
 45.0 , 138.0 , 4.0 , -   , -   , -   , -   , (8.0), -   , 534.0 , (29.0), -   ,,
 42.0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 31.0 , -   ,,
 45.0 , 90.0 , -   , -   , -   , -   , -   , 7.0 , -   , (73.0), -   , -   ,,
 45.0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 31.0 , -   ,,
 43.0 , 48.0 , (11.0), -   , -   , -   , -   , (3.0), -   , -   , 3.0 , -   ,,
 44.0 , 10.0 , (25.0), -   , (1.0), -   , (2.0), (4.0), -   , (5.0), 18.0 , -   ,,
 44.0 , 106.0 , -   , -   , -   , -   , -   , 7.0 , -   , 30.0 , 4.0 , -   ,,
 44.0 , 128.0 , 35.0 , -   , (3.0), -   , (3.0), (7.0), 1.0 , -   , (15.0), -   ,,
 45.0 , 90.0 , (5.0), -   , -   , -   , -   , 21.0 , -   , (39.0), 2.0 , -   ,,
 45.0 , 47.0 , (21.0), -   , -   , -   , -   , (12.0), -   , -   , 3.0 , -   ,,
 41.0 , 31.0 , (26.0), -   , -   , -   , -   , -   , -   , (32.0), 31.0 , -   ,,
 45.0 , 191.0 , (1.0), -   , -   , -   , -   , 12.0 , (1.0), (28.0), -   , -   ,,
 45.0 , 45.0 , 10.0 , -   , -   , -   , -   , 9.0 , -   , -   , 2.0 , -   ,,
 45.0 , 121.0 , 90.0 , 1.0 , 1.0 , 3.0 , 3.0 , 184.0 , 4.0 , 17.0 , (7.0), -   ,,
 44.0 , 76.0 , 32.0 , -   , -   , -   , -   , 18.0 , -   , 2.0 , 31.0 , -   ,,
 44.0 , 50.0 , 25.0 , -   , -   , -   , -   , 4.0 , -   , 100.0 , (187.0), -   ,,
 43.0 , 101.0 , 84.0 , -   , -   , -   , -   , 6.0 , 1.0 , 38.0 , 30.0 , -   ,,
 44.0 , 74.0 , (38.0), -   , -   , -   , -   , -   , (2.0), 243.0 , -   , -   ,,
 44.0 , 105.0 , (5.0), -   , -   , -   , -   , 1.0 , -   , 669.0 , 18.0 , -   ,,
 44.0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 31.0 , -   ,,
 41.0 , 60.0 , -   , -   , -   , -   , -   , -   , -   , -   , 30.0 , -   ,,
 44.0 , 55.0 , (73.0), 2.0 , (1.0), 3.0 , -   , (39.0), (3.0), (45.0), (1.0), -   ,,
 43.0 , 91.0 , (50.0), -   , (3.0), -   , (3.0), (18.0), (2.0)," 2,034.0 ", (4.0), -   ,,
 45.0 , 19.0 , (1.0), -   , -   , -   , -   , 11.0 , -   , -   , (3.0), -   ,,
 43.0 , 15.0 , (27.0), -   , -   , -   , -   , (2.0), -   , -   , 11.0 , -   ,,
 44.0 , 59.0 , -   , -   , -   , -   , -   , 14.0 , 1.0 , -   , -   , -   ,,
 43.0 , 70.0 , (6.0), -   , -   , -   , -   , (4.0), (3.0), -   , 1.0 , -   ,,
 44.0 , 180.0 , 2.0 , -   , -   , -   , -   , 36.0 , 5.0 ," (1,698.0)", -   , -   ,,
 42.0 , -   , (2.0), -   , -   , -   , -   , -   , -   , -   , 30.0 , -   ,,
 43.0 , 38.0 , (11.0), -   , -   , -   , -   , -   , -   , 6.0 , -   , -   ,,
 42.0 , 116.0 , (1.0), -   , -   , -   , -   , 12.0 , -   , (61.0), 31.0 , -   ,,
 44.0 , 95.0 , (15.0), -   , -   , -   , -   , (11.0), -   , 6.0 , 10.0 , -   ,,
 44.0 , 181.0 , (2.0), -   , -   , -   , -   , 20.0 , (1.0)," 1,544.0 ", -   , -   ,,
 43.0 , 90.0 , 10.0 , -   , -   , -   , -   , 16.0 , -   , -   , -   , -   ,,
 40.0 , 120.0 , 2.0 , 1.0 , 1.0 , 2.0 , 2.0 , 35.0 , -   , 35.0 , 3.0 , -   ,,
 38.0 , 116.0 , 1.0 , 1.0 , -   , 3.0 , -   , 41.0 , 1.0 , -   , (26.0), 1.0 ,,
 43.0 , -   , -   , -   , -   , -   , -   , -   , -   , (3.0), 31.0 , -   ,,
 43.0 , 193.0 , 15.0 , 3.0 , 1.0 , 3.0 , 0.5 , 9.0 , 1.0 ," (7,657.0)", -   , -   ,,
 41.0 , 8.0 , -   , -   , -   , -   , -   , -   , -   , -   , 31.0 , 1.0 ,,
 43.0 , 105.0 , -   , -   , -   , -   , -   , (4.0), -   , -   , (2.0), -   ,,
 42.0 , 33.0 , (12.0), -   , -   , -   , -   , 2.0 , -   , 1.0 , 5.0 , -   ,,
 43.0 , 93.0 , (20.0), -   , -   , -   , -   , (4.0), -   ," (3,745.0)", (4.0), -   ,,
 42.0 , 80.0 , 8.0 , -   , -   , -   , -   , -   , -   , (16.0), 21.0 , -   ,,
 42.0 , 81.0 , -   , -   , -   , -   , -   , (2.0), -   , 2.0 , (3.0), -   ,,
 43.0 , 172.0 , 37.0 , -   , -   , -   , -   , 11.0 , 2.0 ," 3,460.0 ", 2.0 , -   ,,
 42.0 , 36.0 , (4.0), -   , -   , -   , -   , (1.0), -   , (3.0), 27.0 , -   ,,
 43.0 , 188.0 , -   , -   , (1.0), -   , (3.0), 5.0 , -   ," 1,708.0 ", -   , -   ,,
 1.0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
 43.0 , 51.0 , (35.0), -   , -   , -   , -   , (5.0), -   , -   , (89.0), -   ,,
 43.0 , 83.0 , (61.0), -   , -   , -   , -   , 8.0 , -   , (3.0), (2.0), -   ,,
 42.0 , 88.0 , (7.0), -   , -   , -   , -   , (10.0), -   ," (2,611.0)", 1.0 , -   ,,
 42.0 , 40.0 , -   , -   , -   , -   , -   , 1.0 , -   , (3.0), (23.0), -   ,,
 43.0 , 68.0 , (1.0), -   , -   , -   , -   , 3.0 , -   , -   , (67.0), -   ,,
 42.0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 31.0 , -   ,,
 43.0 , 136.0 , 9.0 , -   , -   , -   , -   , 21.0 , -   , (200.0), (5.0), -   ,,
 43.0 , 171.0 , 47.0 , 3.0 , 3.0 , 3.0 , 3.0 , 85.0 , -   , 3.0 , -   , -   ,,
 42.0 , 63.0 , 20.0 , -   , -   , -   , -   , 4.0 , -   , -   , 31.0 , -   ,,
 43.0 , 63.0 , 24.0 , -   , -   , -   , -   , -   , -   , -   , 31.0 , -   ,,
 43.0 , 122.0 , (44.0), -   , (1.0), -   , (3.0), (3.0), (3.0), 705.0 , (4.0), -   ,,
 42.0 , 60.0 , -   , 1.0 , 1.0 , 3.0 , 3.0 , 30.0 , -   , -   , -   , -   ,,
 42.0 , 76.0 , (8.0), -   , -   , -   , -   , 12.0 , -   ," 1,580.0 ", 31.0 , -   ,,
 42.0 , 44.0 , (11.0), -   , -   , -   , -   , (3.0), -   , -   , (1.0), -   ,,
 42.0 , 114.0 , 18.0 , 1.0 , -   , 3.0 , -   , 33.0 , 6.0 , -   , 4.0 , -   ,,
 42.0 , 69.0 , 69.0 , -   , -   , -   , -   , 6.0 , -   , -   , 31.0 , -   ,,
 42.0 , 85.0 , -   , -   , -   , -   , -   , 25.0 , -   , -   , (3.0), -   ,,
 42.0 , -   , (17.0), -   , -   , -   , -   , (1.0), -   , -   , 25.0 , -   ,,
 42.0 , 131.0 , (2.0), -   , -   , -   , -   , 2.0 , -   , 489.0 , 31.0 , -   ,,
 41.0 , 60.0 , 29.0 , -   , -   , -   , -   , 4.0 , -   , (285.0), 10.0 , -   ,,
 42.0 , 189.0 , 2.0 , 2.0 , 2.0 , 3.0 , 3.0 , 32.0 , 2.0 , (145.0), -   , -   ,,
 42.0 , 178.0 , (1.0), 1.0 , -   , 3.0 , -   , 21.0 , (1.0), 104.0 , -   , -   ,,
 42.0 , 105.0 , 5.0 , -   , -   , -   , -   , (9.0), -   , -   , -   , -   ,,
 42.0 , 148.0 , (14.0), 1.0 , -   , 2.0 , (1.0), 28.0 , 2.0 , 723.0 , -   , -   ,,
 42.0 , -   , -   , -   , -   , -   , -   , -   , -   , 1.0 , 31.0 , -   ,,
 41.0 , 104.0 , (10.0), -   , -   , -   , -   , 6.0 , -   , 2.0 , -   , -   ,,
 42.0 , 44.0 , (25.0), -   , -   , -   , -   , (2.0), -   , -   , (95.0), -   ,,
 42.0 , 118.0 , 79.0 , -   , -   , -   , -   , 11.0 , -   , -   , 18.0 , -   ,,
 42.0 , 16.0 , 10.0 , 2.0 , 2.0 , 3.0 , 3.0 , 19.0 , -   , -   , (92.0), -   ,,
 42.0 , 183.0 , 31.0 , 5.0 , 3.0 , 3.0 , -   , 82.0 , (4.0), 124.0 , -   , -   ,,
 42.0 , 120.0 , (10.0), -   , -   , -   , -   , 5.0 , -   , (166.0), -   , -   ,,
 40.0 , 107.0 , (7.0), 1.0 , 1.0 , 3.0 , 3.0 , (33.0), (4.0), (22.0), (3.0), -   ,,
 40.0 , 165.0 , 30.0 , 2.0 , 2.0 , 3.0 , 3.0 , 52.0 , -   , (28.0), 1.0 , -   ,,
 41.0 , 130.0 , 18.0 , -   , -   , -   , -   , 13.0 , (2.0), (380.0), -   , -   ,,
 40.0 , 130.0 , -   , 1.0 , 1.0 , 3.0 , 3.0 , (7.0), -   , (87.0), 4.0 , 1.0 ,,
 41.0 , 145.0 , 18.0 , 4.0 , 3.0 , 3.0 , -   , 15.0 , -   , 33.0 , (3.0), -   ,,
 40.0 , 115.0 , 10.0 , -   , -   , -   , -   , 16.0 , 1.0 , 5.0 , (3.0), -   ,,
 39.0 , 15.0 , (4.0), -   , -   , -   , -   , -   , -   , (14.0), 31.0 , -   ,,
 36.0 , 105.0 , (1.0), -   , -   , -   , -   , 26.0 , -   , (61.0), (1.0), 1.0 ,,
 40.0 , 73.0 , 50.0 , -   , -   , -   , -   , 10.0 , -   ," 1,300.0 ", 31.0 , -   ,,
 13.0 , 121.0 , (15.0), -   , -   , -   , -   , 1.0 , (1.0), 266.0 , -   , -   ,,
 13.0 , 3.0 , -   , 2.0 , 1.0 , 3.0 , 3.0 , 19.0 , -   , -   , (16.0), -   ,,
 7.0 , 141.0 , 22.0 , 2.0 , 1.0 , 3.0 , -   , 70.0 , -   , 72.0 , (3.0), -   ,,
 14.0 , 165.0 , 67.0 , 2.0 , 1.0 , 3.0 , -   , 97.0 , 15.0 , (1.0), (9.0), -   ,,
 14.0 , 36.0 , (44.0), -   , (1.0), -   , (3.0), 6.0 , -   , 150.0 , 2.0 , -   ,,
 12.0 , 143.0 , 37.0 , -   , -   , -   , -   , 50.0 , 3.0 , 18.0 , 28.0 , 1.0 ,,
 14.0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 30.0 , -   ,,
 14.0 , 124.0 , (6.0), -   , -   , -   , -   , (7.0), -   , 28.0 , 7.0 , -   ,,
 14.0 , 150.0 , 50.0 , -   , -   , -   , -   , (13.0), 2.0 , 76.0 , -   , -   ,,
 14.0 , 109.0 , (3.0), -   , -   , -   , -   , 2.0 , -   , 463.0 , 9.0 , -   ,,
 13.0 , 118.0 , (1.0), 1.0 , 1.0 , 3.0 , 3.0 , 41.0 , (2.0), 5.0 , -   , -   ,,
 12.0 , 215.0 , 8.0 , 2.0 , 1.0 , 3.0 , 1.0 , 17.0 , (4.0)," 4,914.0 ", -   , -   ,,
 14.0 , 150.0 , (44.0), -   , -   , -   , -   , (1.0), (4.0)," 14,868.0 ", (16.0), -   ,,
 11.0 , 158.0 , 32.0 , -   , -   , -   , -   , 33.0 , -   , (41.0), -   , -   ,,
 11.0 , 87.0 , 20.0 , -   , -   , -   , -   , 27.0 , -   , (76.0), -   , -   ,,
 14.0 , 173.0 , 9.0 , 1.0 , (1.0), 3.0 , -   , 27.0 , -   , (785.0), -   , -   ,,
 12.0 , 119.0 , (16.0), -   , -   , -   , -   , 45.0 , 2.0 , (301.0), -   , -   ,,
 13.0 , 167.0 , 10.0 , -   , -   , -   , -   , 10.0 , -   , 29.0 , (3.0), -   ,,
 14.0 , 115.0 , 16.0 , -   , -   , -   , -   , (8.0), -   , (11.0), 7.0 , -   ,,
 13.0 , 165.0 , 77.0 , -   , (1.0), -   , (3.0), 42.0 , -   , (117.0), (4.0), -   ,,
 14.0 , 59.0 , (11.0), -   , -   , -   , -   , 72.0 , -   , (11.0), (2.0), -   ,,
 13.0 , -   , -   , -   , -   , -   , -   , -   , -   , (1.0), 31.0 , 1.0 ,,
 14.0 , 5.0 , (21.0), -   , -   , -   , -   , (1.0), -   , (711.0), 15.0 , -   ,,
 14.0 , 162.0 , 53.0 , -   , -   , -   , -   , (23.0), (2.0), 4.0 , (18.0), -   ,,
 14.0 , 174.0 , (3.0), -   , (3.0), -   , (3.0), 30.0 , (2.0), 26.0 , -   , -   ,,
 14.0 , 192.0 , 8.0 , 1.0 , -   , 3.0 , (1.0), 84.0 , (1.0), (5.0), -   , -   ,,
 14.0 , 162.0 , 5.0 , 2.0 , (2.0), 3.0 , -   , (1.0), -   , 224.0 , 4.0 , -   ,,
 14.0 , 172.0 , (3.0), 1.0 , (2.0), 3.0 , -   , 39.0 , -   , (229.0), -   , -   ,,
 14.0 , 167.0 , (7.0), 1.0 , 1.0 , 3.0 , 3.0 , 39.0 , (7.0), (436.0), -   , -   ,,
 8.0 , 129.0 , (9.0), -   , (1.0), -   , (3.0), 61.0 , -   , 182.0 , (2.0), -   ,,
 14.0 , 78.0 , (6.0), -   , -   , -   , -   , 9.0 , -   , 9.0 , -   , -   ,,
 14.0 , 53.0 , 27.0 , -   , -   , -   , -   , -   , -   , (13.0), 7.0 , -   ,,
 14.0 , 75.0 , 9.0 , -   , -   , -   , -   , 13.0 , -   , (8.0), 29.0 , -   ,,
 14.0 , 26.0 , (1.0), -   , -   , -   , -   , 4.0 , -   , (10.0), (3.0), 1.0 ,,
 13.0 , -   , (22.0), -   , -   , -   , -   , -   , -   , (4.0), 30.0 , -   ,,
 13.0 , 120.0 , (44.0), -   , -   , -   , -   , 49.0 , (1.0), (99.0), -   , -   ,,
 12.0 , 178.0 , (33.0), 5.0 , (1.0), 3.0 , -   , 1.0 , (2.0), (114.0), (1.0), -   ,,
 13.0 , 188.0 , 1.0 , -   , (1.0), -   , (3.0), 8.0 , (1.0), (41.0), (8.0), -   ,,
 1.0 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
 14.0 , 133.0 , -   , 2.0 , 2.0 , 3.0 , 3.0 , 39.0 , -   , (45.0), 3.0 , -   ,,
