ID,Customer Age (in months),"Churn (1 = Yes, 0 = No)",CHI Score Month 0,CHI Score 0-1,Support Cases Month 0,Support Cases 0-1,SP Month 0,SP 0-1,Logins 0-1,Blog Articles 0-1,Views 0-1, Days Since Last Login 0-1,Group_14-67,Group_2-6,Group_6-14
5826,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5824,3,0,33,33,0,0,0.0,0.0,8,3,0,0,0,1,0
5823,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5821,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5818,3,0,51,51,0,0,0.0,0.0,10,1,0,0,0,1,0
5810,3,0,88,88,0,0,0.0,0.0,12,1,0,0,0,1,0
5808,3,0,56,56,1,1,3.0,3.0,2,2,0,0,0,1,0
5807,3,0,32,32,0,0,0.0,0.0,50,1,0,0,0,1,0
5805,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5804,3,0,31,0,0,0,0.0,0.0,12,0,0,0,0,1,0
5799,3,0,32,32,0,0,0.0,0.0,14,1,0,0,0,1,0
5797,3,0,21,21,0,0,0.0,0.0,2,1,0,0,0,1,0
5795,3,0,31,31,0,0,0.0,0.0,6,1,0,0,0,1,0
5794,3,0,45,45,1,1,3.0,3.0,28,3,0,0,0,1,0
5792,3,0,21,21,0,0,0.0,0.0,2,1,0,0,0,1,0
5790,3,0,31,31,1,1,3.0,3.0,6,1,0,0,0,1,0
5787,3,0,33,33,0,0,0.0,0.0,4,2,0,0,0,1,0
5783,3,0,34,34,0,0,0.0,0.0,14,1,0,0,0,1,0
5782,3,0,31,31,0,0,0.0,0.0,10,1,0,0,0,1,0
5780,3,0,44,0,0,0,0.0,0.0,18,0,0,0,0,1,0
5778,3,0,89,89,0,0,0.0,0.0,60,1,0,0,0,1,0
5777,3,0,72,72,0,0,0.0,0.0,32,18,0,0,0,1,0
5776,3,0,51,51,0,0,0.0,0.0,12,1,0,0,0,1,0
5770,3,0,44,44,0,0,0.0,0.0,24,1,0,0,0,1,0
5768,3,0,132,132,1,1,3.0,3.0,50,3,0,0,0,1,0
5767,3,0,96,96,2,2,3.5,3.5,82,8,0,0,0,1,0
5762,3,0,33,33,0,0,0.0,0.0,12,1,0,0,0,1,0
5761,3,0,45,45,0,0,0.0,0.0,24,2,0,0,0,1,0
5759,3,0,62,62,0,0,0.0,0.0,28,25,0,0,0,1,0
5758,3,0,103,103,0,0,0.0,0.0,68,1,0,0,0,1,0
5757,3,0,60,60,1,1,3.0,3.0,68,2,0,0,0,1,0
5752,3,0,33,33,0,0,0.0,0.0,4,3,0,0,0,1,0
5751,3,0,45,45,0,0,0.0,0.0,20,1,0,0,0,1,0
5750,3,0,31,31,0,0,0.0,0.0,8,1,0,0,0,1,0
5748,3,0,53,53,0,0,0.0,0.0,30,1,0,0,0,1,0
5747,3,0,32,32,0,0,0.0,0.0,12,1,0,0,0,1,0
5745,3,0,47,47,0,0,0.0,0.0,16,1,0,0,0,1,0
5744,3,0,91,91,1,1,3.0,3.0,58,0,0,0,0,1,0
5743,3,0,77,77,1,1,3.0,3.0,20,2,0,0,0,1,0
5741,3,0,63,63,0,0,0.0,0.0,38,1,0,0,0,1,0
5737,3,0,42,0,0,0,0.0,0.0,46,0,9,0,0,1,0
5736,3,0,31,31,0,0,0.0,0.0,8,1,0,0,0,1,0
5735,3,0,41,41,0,0,0.0,0.0,44,1,0,0,0,1,0
5731,3,0,134,134,0,0,0.0,0.0,114,5,0,0,0,1,0
5727,3,0,46,46,0,0,0.0,0.0,54,1,0,0,0,1,0
5725,3,0,6,6,0,0,0.0,0.0,18,0,0,0,0,1,0
5724,3,0,34,34,0,0,0.0,0.0,6,2,0,0,0,1,0
5722,3,0,31,31,0,0,0.0,0.0,22,1,0,0,0,1,0
5721,3,0,41,41,0,0,0.0,0.0,18,1,0,0,0,1,0
5720,3,0,43,43,0,0,0.0,0.0,18,1,0,0,0,1,0
5717,3,0,0,0,0,0,0.0,0.0,0,2,0,0,0,1,0
5714,3,0,67,67,1,1,3.0,3.0,48,2,0,0,0,1,0
5711,3,0,52,52,0,0,0.0,0.0,14,2,0,0,0,1,0
5710,3,0,100,100,4,4,2.75,2.75,46,1,0,0,0,1,0
5709,3,0,54,54,1,1,3.0,3.0,26,2,0,0,0,1,0
5707,3,0,47,47,0,0,0.0,0.0,18,1,0,0,0,1,0
5706,3,0,49,49,0,0,0.0,0.0,16,9,0,0,0,1,0
5705,3,0,31,31,0,0,0.0,0.0,18,1,0,0,0,1,0
5704,3,0,31,31,0,0,0.0,0.0,12,1,0,0,0,1,0
5702,3,0,75,75,0,0,0.0,0.0,88,1,0,0,0,1,0
5701,3,0,33,33,0,0,0.0,0.0,8,2,0,0,0,1,0
5699,3,0,33,33,1,1,3.0,3.0,10,3,0,0,0,1,0
5698,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5697,3,0,113,113,1,1,3.0,3.0,44,1,0,0,0,1,0
5696,3,0,52,52,0,0,0.0,0.0,28,2,0,0,0,1,0
5695,3,0,0,0,0,0,0.0,0.0,22,0,0,0,0,1,0
5694,3,0,69,69,1,1,3.0,3.0,56,2,0,0,0,1,0
5693,3,0,106,106,0,0,0.0,0.0,68,1,0,0,0,1,0
5692,3,0,51,51,0,0,0.0,0.0,52,1,0,0,0,1,0
5691,3,0,107,107,8,8,3.0,3.0,176,1,0,0,0,1,0
5690,3,0,31,31,0,0,0.0,0.0,8,1,0,0,0,1,0
5689,3,0,0,0,0,0,0.0,0.0,6,0,0,0,0,1,0
5687,3,0,43,43,0,0,0.0,0.0,2,3,0,0,0,1,0
5686,3,0,15,15,0,0,0.0,0.0,72,0,0,0,0,1,0
5685,3,0,44,44,0,0,0.0,0.0,18,1,0,0,0,1,0
5684,3,0,67,67,2,2,2.5,2.5,48,0,0,0,0,1,0
5683,3,0,21,21,0,0,0.0,0.0,48,0,0,0,0,1,0
5682,3,0,57,57,0,0,0.0,0.0,118,1,0,0,0,1,0
5681,3,0,22,22,0,0,0.0,0.0,2,2,0,0,0,1,0
5676,3,0,42,42,0,0,0.0,0.0,18,1,0,0,0,1,0
5675,3,0,46,46,0,0,0.0,0.0,40,4,0,0,0,1,0
5674,3,0,31,31,0,0,0.0,0.0,12,1,0,0,0,1,0
5671,3,0,48,48,2,2,3.0,3.0,30,3,0,0,0,1,0
5668,3,0,41,41,0,0,0.0,0.0,34,1,0,0,0,1,0
5667,3,0,51,51,2,2,3.0,3.0,40,1,0,0,0,1,0
5666,3,0,32,32,0,0,0.0,0.0,6,2,0,0,0,1,0
5664,3,0,44,44,0,0,0.0,0.0,40,2,0,0,0,1,0
5662,3,0,151,151,3,3,3.0,3.0,84,1,0,0,0,1,0
5661,3,0,92,92,2,2,3.0,3.0,44,2,0,0,0,1,0
5660,3,0,45,45,0,0,0.0,0.0,22,1,0,0,0,1,0
5658,3,0,5,5,0,0,0.0,0.0,30,0,0,0,0,1,0
5655,3,0,66,66,1,1,3.0,3.0,46,1,0,0,0,1,0
5654,3,0,69,69,2,2,3.0,3.0,38,0,0,0,0,1,0
5649,3,0,41,41,0,0,0.0,0.0,62,1,0,0,0,1,0
5648,3,0,5,5,2,2,3.0,3.0,68,0,0,0,0,1,0
5647,3,0,84,84,9,9,3.0,3.0,106,3,0,0,0,1,0
5643,3,0,89,89,5,5,3.0,3.0,128,1,0,0,0,1,0
5642,3,0,44,44,0,0,0.0,0.0,30,2,0,0,0,1,0
5641,3,0,117,117,1,1,3.0,3.0,34,2,0,0,0,1,0
5639,3,0,31,31,0,0,0.0,0.0,22,1,0,0,0,1,0
5638,3,0,71,71,0,0,0.0,0.0,32,1,0,0,0,1,0
5637,3,0,109,109,1,1,0.0,0.0,116,4,0,0,0,1,0
5635,3,0,97,97,6,6,3.0,3.0,38,2,0,0,0,1,0
5634,3,0,145,145,1,1,1.0,1.0,94,6,0,0,0,1,0
5633,3,0,15,15,0,0,0.0,0.0,42,0,0,0,0,1,0
5632,3,0,90,90,2,2,2.5,2.5,54,2,0,0,0,1,0
5631,3,0,32,32,0,0,0.0,0.0,24,2,0,0,0,1,0
5630,3,0,41,41,0,0,0.0,0.0,26,1,0,0,0,1,0
5629,3,0,32,32,0,0,0.0,0.0,2,2,0,0,0,1,0
5627,3,0,76,76,6,6,3.0,3.0,50,1,0,0,0,1,0
5626,3,0,31,31,0,0,0.0,0.0,2,1,0,0,0,1,0
5625,3,0,123,123,1,1,3.0,3.0,32,2,0,0,0,1,0
5624,3,0,12,12,0,0,0.0,0.0,24,0,0,0,0,1,0
5623,3,0,31,31,0,0,0.0,0.0,10,1,0,0,0,1,0
5622,3,0,45,45,0,0,0.0,0.0,58,2,0,0,0,1,0
5620,3,0,67,67,3,3,3.0,3.0,102,2,0,0,0,1,0
5617,3,0,41,41,1,1,3.0,3.0,38,1,0,0,0,1,0
5616,3,0,106,106,2,2,3.0,3.0,88,3,0,0,0,1,0
5615,3,0,41,41,0,0,0.0,0.0,20,1,0,0,0,1,0
5612,3,0,31,0,0,0,0.0,0.0,34,0,93,0,0,1,0
5611,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5610,3,0,137,137,0,0,0.0,0.0,128,0,0,0,0,1,0
5609,3,0,101,101,2,2,3.0,3.0,22,9,0,0,0,1,0
5607,3,0,33,33,1,1,2.0,2.0,14,3,0,0,0,1,0
5603,3,0,42,42,1,1,3.0,3.0,20,1,0,0,0,1,0
5602,3,0,48,0,0,0,0.0,0.0,32,0,0,0,0,1,0
5601,3,0,46,46,0,0,0.0,0.0,14,1,0,0,0,1,0
5600,3,0,128,128,1,1,3.0,3.0,34,2,0,0,0,1,0
5597,3,0,41,41,0,0,0.0,0.0,38,1,0,0,0,1,0
5596,3,0,61,61,1,1,3.0,3.0,38,1,0,0,0,1,0
5595,3,0,72,72,1,1,3.0,3.0,60,2,0,0,0,1,0
5594,3,0,104,104,0,0,0.0,0.0,294,1,0,0,0,1,0
5593,3,0,0,0,0,0,0.0,0.0,0,2,0,0,0,1,0
5592,3,0,42,42,0,0,0.0,0.0,50,2,0,0,0,1,0
5591,3,0,32,32,0,0,0.0,0.0,4,1,0,0,0,1,0
5588,3,0,48,48,0,0,0.0,0.0,58,1,0,0,0,1,0
5586,3,0,42,42,0,0,0.0,0.0,20,2,0,0,0,1,0
5584,3,0,72,72,0,0,0.0,0.0,28,2,0,0,0,1,0
5583,3,0,98,98,3,3,3.0,3.0,72,1,0,0,0,1,0
5582,3,0,109,109,3,3,3.0,3.0,56,2,0,0,0,1,0
5579,3,0,63,63,3,3,3.0,3.0,82,3,0,0,0,1,0
5577,3,0,101,101,4,4,3.0,3.0,14,1,0,0,0,1,0
5576,3,0,96,96,0,0,0.0,0.0,46,1,0,0,0,1,0
5575,3,0,110,110,0,0,0.0,0.0,58,1,0,0,0,1,0
5573,3,0,59,59,2,2,3.0,3.0,12,1,0,0,0,1,0
5572,3,0,25,-25,0,0,0.0,0.0,32,-1,0,0,0,1,0
5571,3,0,103,103,0,0,0.0,0.0,126,3,0,0,0,1,0
5570,3,0,164,164,11,11,3.0,3.0,314,3,0,0,0,1,0
5568,3,0,62,62,3,3,2.3333333333333335,2.3333333333333335,74,2,0,0,0,1,0
5567,3,0,27,27,0,0,0.0,0.0,72,0,0,0,0,1,0
5566,3,0,41,41,2,2,2.5,2.5,64,1,0,0,0,1,0
5563,3,0,119,119,2,2,2.5,2.5,156,3,0,0,0,1,0
5561,3,0,48,48,0,0,0.0,0.0,20,1,0,0,0,1,0
5559,3,0,46,46,0,0,0.0,0.0,8,1,0,0,0,1,0
5558,3,0,59,59,0,0,0.0,0.0,32,1,0,0,0,1,0
5556,3,0,11,11,0,0,0.0,0.0,28,0,0,0,0,1,0
5555,3,0,26,26,0,0,0.0,0.0,50,0,0,0,0,1,0
5554,3,0,67,67,0,0,0.0,0.0,34,2,0,0,0,1,0
5553,3,0,80,80,2,2,3.0,3.0,76,0,0,0,0,1,0
5546,3,0,73,73,0,0,0.0,0.0,76,2,0,0,0,1,0
5544,3,0,53,53,0,0,0.0,0.0,24,1,0,0,0,1,0
5543,3,0,123,123,0,0,0.0,0.0,182,2,0,0,0,1,0
5542,3,0,42,42,0,0,0.0,0.0,64,2,0,0,0,1,0
5538,3,0,0,0,0,0,0.0,0.0,4,0,0,0,0,1,0
5533,3,0,0,0,0,0,0.0,0.0,2,0,0,0,0,1,0
5528,3,0,15,15,1,1,3.0,3.0,76,0,0,0,0,1,0
5525,3,0,112,112,1,1,3.0,3.0,134,3,0,0,0,1,0
5524,3,0,125,125,7,7,3.0,3.0,132,3,0,0,0,1,0
5516,3,0,112,112,7,7,3.0,3.0,66,7,0,0,0,1,0
5515,3,0,48,48,0,0,0.0,0.0,14,1,0,0,0,1,0
5514,3,0,31,31,4,4,3.0,3.0,78,0,0,0,0,1,0
5513,3,0,26,26,2,2,3.5,3.5,52,0,0,0,0,1,0
5511,3,0,110,110,4,4,3.0,3.0,72,1,0,0,0,1,0
5506,3,0,0,0,0,0,0.0,0.0,10,0,0,0,0,1,0
5504,3,0,153,153,2,2,3.0,3.0,148,8,0,0,0,1,0
5498,3,0,80,80,5,5,3.0,3.0,86,0,0,0,0,1,0
5495,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5492,3,0,20,20,0,0,0.0,0.0,48,0,0,0,0,1,0
5489,3,0,29,29,0,0,0.0,0.0,56,0,0,0,0,1,0
5487,3,0,28,28,0,0,0.0,0.0,4,1,0,0,0,1,0
5484,3,0,25,25,0,0,0.0,0.0,76,0,0,0,0,1,0
5483,3,0,0,0,0,0,0.0,0.0,2,0,0,0,0,1,0
5481,3,0,15,15,0,0,0.0,0.0,44,0,0,0,0,1,0
5478,3,0,102,102,4,4,2.75,2.75,176,0,0,0,0,1,0
5468,3,0,0,0,0,0,0.0,0.0,14,0,0,0,0,1,0
5463,3,0,109,109,2,2,3.0,3.0,62,1,0,0,0,1,0
5456,3,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0
5454,3,0,98,98,1,1,3.0,3.0,94,0,0,0,0,1,0
5449,3,0,44,44,0,0,0.0,0.0,38,1,0,0,0,1,0
5448,3,0,61,61,4,4,3.0,3.0,52,1,0,0,0,1,0
5445,3,0,136,136,1,1,3.0,3.0,102,1,0,0,0,1,0
5444,3,0,5,5,1,1,3.0,3.0,22,0,0,0,0,1,0
5442,3,0,0,0,0,0,0.0,0.0,16,0,0,0,0,1,0
5440,3,0,140,140,1,1,3.0,3.0,66,0,0,0,0,1,0
5437,3,0,135,135,4,4,2.75,2.75,64,3,0,0,0,1,0
5430,3,0,37,37,0,0,0.0,0.0,16,0,0,0,0,1,0
5429,3,0,116,116,0,0,0.0,0.0,22,1,0,0,0,1,0
5422,3,1,83,40,10,9,3.0,0.0,72,1,1,2,0,1,0
5417,3,0,60,60,0,0,0.0,0.0,34,0,0,0,0,1,0
5413,3,0,29,29,3,3,3.0,3.0,44,0,0,0,0,1,0
5412,3,0,0,0,0,0,0.0,0.0,18,0,0,0,0,1,0
5411,3,0,0,0,0,0,0.0,0.0,2,0,0,0,0,1,0
5409,3,0,0,0,0,0,0.0,0.0,6,0,0,0,0,1,0
5408,3,0,68,68,0,0,0.0,0.0,44,4,0,0,0,1,0
5405,3,1,23,23,2,2,3.0,3.0,62,0,0,0,0,1,0
5403,3,0,0,0,0,0,0.0,0.0,22,0,0,0,0,1,0
5389,3,0,0,0,0,0,0.0,0.0,6,0,0,0,0,1,0
5385,3,0,1,1,0,0,0.0,0.0,6,0,0,0,0,1,0
5382,3,0,202,202,8,8,2.875,2.875,134,8,0,0,0,1,0
5376,3,0,9,9,0,0,0.0,0.0,58,0,0,0,0,1,0
5375,3,0,23,23,0,0,0.0,0.0,4,3,0,0,0,1,0
5368,3,0,123,123,0,0,0.0,0.0,62,4,0,0,0,1,0
5356,3,0,8,8,0,0,0.0,0.0,28,0,0,0,0,1,0
5347,3,0,111,111,4,4,2.75,2.75,94,0,0,0,0,1,0
5346,3,0,41,41,0,0,0.0,0.0,0,10,0,0,0,1,0
5343,3,0,11,11,0,0,0.0,0.0,10,0,0,0,0,1,0
5340,3,0,5,5,0,0,0.0,0.0,22,0,0,0,0,1,0
5336,3,0,0,0,0,0,0.0,0.0,6,0,0,0,0,1,0
5333,3,0,83,83,0,0,0.0,0.0,138,1,0,0,0,1,0
5332,3,0,28,28,0,0,0.0,0.0,92,0,0,0,0,1,0
5330,3,0,0,0,0,0,0.0,0.0,24,0,0,0,0,1,0
5328,3,0,84,84,2,2,3.0,3.0,106,5,0,0,0,1,0
5321,3,0,6,6,0,0,0.0,0.0,26,0,0,0,0,1,0
5319,3,0,0,0,0,0,0.0,0.0,6,0,0,0,0,1,0
5313,3,1,0,-22,1,1,3.0,3.0,1,-2,0,24,0,1,0
5308,3,0,122,122,3,3,3.0,3.0,30,1,0,0,0,1,0
5307,3,0,15,15,2,2,3.0,3.0,50,0,0,0,0,1,0
5301,3,0,32,0,0,0,0.0,0.0,40,0,1,0,0,1,0
5300,3,0,53,53,0,0,0.0,0.0,28,1,0,0,0,1,0
5299,3,0,117,117,0,0,0.0,0.0,102,2,0,0,0,1,0
5297,3,0,97,97,0,0,0.0,0.0,120,1,0,0,0,1,0
5296,3,0,0,0,0,0,0.0,0.0,4,0,0,0,0,1,0
5294,3,1,87,-44,4,-8,3.0,0.0,-65,-3,951,2,0,1,0
5292,3,0,2,2,1,1,3.0,3.0,12,0,0,0,0,1,0
5288,3,0,136,136,1,1,3.0,3.0,76,6,0,0,0,1,0
5284,3,0,0,0,0,0,0.0,0.0,2,0,0,0,0,1,0
5276,3,0,17,17,1,1,3.0,3.0,34,0,0,0,0,1,0
5274,3,0,5,5,0,0,0.0,0.0,46,0,0,0,0,1,0
5273,3,0,33,0,0,0,0.0,0.0,24,0,0,0,0,1,0
5271,3,1,158,-1,4,0,3.0,-0.5,18,0,5,0,0,1,0
5258,3,0,39,39,2,2,3.0,3.0,108,0,0,0,0,1,0
5216,3,0,53,53,0,0,0.0,0.0,86,0,0,0,0,1,0
5202,3,0,0,0,2,2,3.0,3.0,18,0,0,0,0,1,0
5194,3,0,108,108,0,0,0.0,0.0,108,0,0,0,0,1,0
5192,3,0,49,49,0,0,0.0,0.0,18,1,0,0,0,1,0
5180,3,0,0,0,0,0,0.0,0.0,4,0,0,0,0,1,0
5176,3,0,53,53,0,0,0.0,0.0,16,2,0,0,0,1,0
5146,3,0,32,32,0,0,0.0,0.0,16,1,0,0,0,1,0
5112,3,0,0,0,0,0,0.0,0.0,4,0,0,0,0,1,0
5082,3,0,5,5,0,0,0.0,0.0,32,0,0,0,0,1,0
5071,3,0,12,12,2,2,3.0,3.0,42,0,0,0,0,1,0
5065,3,0,47,47,0,0,0.0,0.0,18,0,0,0,0,1,0
5052,3,1,0,-40,0,-4,0.0,-3.0,-58,0,254,12,0,1,0
5023,3,0,103,103,3,3,2.3333333333333335,2.3333333333333335,60,0,0,0,0,1,0
4933,3,0,0,0,0,0,0.0,0.0,12,0,0,0,0,1,0
4916,3,0,9,9,0,0,0.0,0.0,44,0,0,0,0,1,0
4878,3,0,58,58,0,0,0.0,0.0,32,0,0,0,0,1,0
4825,3,0,0,0,0,0,0.0,0.0,4,0,0,0,0,1,0
4600,3,0,0,0,0,0,0.0,0.0,4,0,0,0,0,1,0
4568,3,0,177,177,0,0,0.0,0.0,192,14,0,0,0,1,0
4552,3,1,0,-11,1,1,3.0,3.0,6,0,15,3,0,1,0
4550,3,0,41,41,0,0,0.0,0.0,72,0,0,0,0,1,0
4423,3,0,3,3,0,0,0.0,0.0,6,0,0,0,0,1,0
4342,3,0,123,123,1,1,3.0,3.0,50,13,0,0,0,1,0
4328,3,0,112,112,1,1,3.0,3.0,38,2,0,0,0,1,0
4011,3,0,56,56,4,4,2.75,2.75,74,0,0,0,0,1,0
4010,3,0,87,87,2,2,3.0,3.0,106,1,0,0,0,1,0
3971,3,0,2,2,0,0,0.0,0.0,22,0,0,0,0,1,0
3959,3,0,6,6,0,0,0.0,0.0,20,0,0,0,0,1,0
3949,3,0,2,2,0,0,0.0,0.0,10,0,0,0,0,1,0
3891,3,0,22,22,1,1,2.0,2.0,34,0,0,0,0,1,0
3855,3,0,64,64,0,0,0.0,0.0,18,1,0,0,0,1,0
3845,3,0,31,31,0,0,0.0,0.0,34,0,0,0,0,1,0
3841,3,0,0,0,0,0,0.0,0.0,10,0,0,0,0,1,0
3603,3,0,66,66,0,0,0.0,0.0,72,0,0,0,0,1,0
3602,3,0,10,10,0,0,0.0,0.0,18,0,0,0,0,1,0
3498,3,0,0,0,0,0,0.0,0.0,4,0,0,0,0,1,0
3344,3,0,51,51,0,0,0.0,0.0,142,0,0,0,0,1,0
3185,3,0,0,0,0,0,0.0,0.0,2,0,0,0,0,1,0
3098,3,0,0,0,0,0,0.0,0.0,2,0,0,0,0,1,0
3087,3,0,125,125,3,3,2.6666666666666665,2.6666666666666665,172,0,0,0,0,1,0
3080,3,0,53,53,0,0,0.0,0.0,26,4,0,0,0,1,0
2433,3,0,0,0,0,0,0.0,0.0,14,0,0,0,0,1,0
1813,3,0,25,25,1,1,3.0,3.0,12,0,0,0,0,1,0
1050,3,0,28,28,2,2,3.0,3.0,60,0,0,0,0,1,0
1039,3,0,19,19,0,0,0.0,0.0,26,0,0,0,0,1,0
753,3,0,120,120,6,6,3.0,3.0,146,0,0,0,0,1,0
731,3,0,126,126,0,0,0.0,0.0,82,0,0,0,0,1,0
553,3,0,9,9,0,0,0.0,0.0,20,0,0,0,0,1,0
376,3,0,0,0,0,0,0.0,0.0,12,0,0,0,0,1,0
5545,4,0,42,42,0,0,0.0,0.0,20,2,0,0,0,1,0
5540,4,0,153,153,20,20,3.0,3.0,180,7,0,0,0,1,0
5537,4,0,70,29,3,3,3.0,3.0,148,-1,0,0,0,1,0
5536,4,0,31,10,0,0,0.0,0.0,14,0,0,0,0,1,0
5535,4,0,31,31,0,0,0.0,0.0,22,0,0,0,0,1,0
5534,4,0,15,15,0,0,0.0,0.0,54,-1,0,0,0,1,0
5531,4,0,151,151,2,2,2.0,2.0,78,0,0,0,0,1,0
5530,4,0,20,0,6,6,3.0,3.0,78,0,9,0,0,1,0
5526,4,0,110,89,3,3,3.0,3.0,434,7,0,0,0,1,0
5523,4,0,0,0,0,0,0.0,0.0,2,-1,0,0,0,1,0
5522,4,0,0,0,0,0,0.0,0.0,0,-1,0,0,0,1,0
5521,4,0,22,22,0,0,0.0,0.0,60,0,0,0,0,1,0
5519,4,0,102,81,1,1,3.0,3.0,172,0,0,0,0,1,0
5518,4,0,101,101,3,3,2.6666666666666665,2.6666666666666665,82,0,0,0,0,1,0
5517,4,0,19,-2,0,0,0.0,0.0,32,-1,0,0,0,1,0
5512,4,0,55,34,3,3,3.0,3.0,56,-1,0,1,0,1,0
5509,4,0,156,156,7,5,3.0,0.0,20,3,0,0,0,1,0
5508,4,0,151,151,3,3,3.0,3.0,142,2,0,0,0,1,0
5505,4,0,52,21,0,0,0.0,0.0,28,1,0,1,0,1,0
5502,4,0,70,49,1,1,3.0,3.0,170,-1,0,4,0,1,0
5500,4,0,127,106,4,3,3.0,0.0,100,2,0,3,0,1,0
5499,4,0,96,83,4,4,3.0,3.0,50,1,4,0,0,1,0
5497,4,0,0,0,1,1,3.0,3.0,4,-1,0,0,0,1,0
5494,4,0,8,8,3,3,3.0,3.0,32,0,0,0,0,1,0
5491,4,0,57,24,2,2,3.0,3.0,226,-1,0,0,0,1,0
5488,4,0,40,6,0,0,0.0,0.0,34,-1,0,0,0,1,0
5485,4,0,5,-26,0,0,0.0,0.0,48,-1,0,0,0,1,0
5482,4,0,5,5,0,0,0.0,0.0,28,0,4,0,0,1,0
5480,4,0,13,-38,0,0,0.0,0.0,10,-1,0,5,0,1,0
5477,4,0,68,68,0,0,0.0,0.0,46,-2,1,0,0,1,0
5475,4,0,126,79,4,4,3.0,3.0,142,-4,0,0,0,1,0
5473,4,0,96,63,4,4,3.0,3.0,10,0,1,5,0,1,0
5471,4,0,10,-33,0,0,0.0,0.0,-6,-1,0,1,0,1,0
5467,4,0,117,-10,2,-1,3.0,0.0,116,0,2,0,0,1,0
5466,4,0,68,26,0,0,0.0,0.0,50,4,3,0,0,1,0
5465,4,0,0,-45,0,0,0.0,0.0,-14,-2,24,0,0,1,0
5464,4,1,0,-22,0,0,0.0,0.0,0,-2,0,3,0,1,0
5462,4,0,186,62,5,5,3.0,3.0,190,-1,1,0,0,1,0
5461,4,0,20,-20,0,0,0.0,0.0,6,0,0,1,0,1,0
5460,4,1,0,-43,0,0,0.0,0.0,-22,-1,0,0,0,1,0
5458,4,0,145,123,1,1,3.0,3.0,92,1,0,0,0,1,0
5457,4,0,0,0,0,0,0.0,0.0,32,-1,0,0,0,1,0
5455,4,0,0,-48,0,0,0.0,0.0,-18,-3,8,0,0,1,0
5452,4,0,20,-14,0,0,0.0,0.0,20,-1,95,1,0,1,0
5450,4,0,123,123,9,9,3.0,3.0,154,1,0,0,0,1,0
5447,4,0,98,51,4,4,3.0,3.0,20,-1,17,1,0,1,0
5446,4,0,162,141,9,8,3.0,0.0,184,17,61,0,0,1,0
