title,question,context,text,Source,Source URL,Organization,Country,Last Retrieved Time
,can corona spread from asymptotic patitnets,,"It is therefore possible to catch COVID-19 from someone who has, for example, just a mild cough and does not feel ill",,,,,
,Can I catch COVID-19 from the feces of someone with the disease?,,The risk of catching COVID-19 from the feces of an infected person appears to be low,,,,,
,Who is doing research on this disease,,WHO is assessing ongoing research on the ways COVID-19 is spread and will continue to share new findings,,,,,
,What can I do to protect myself and prevent the spread of disease ?,"""Protection measures for everyone

Stay aware of the latest information on the COVID-19 outbreak, available on the WHO website and through your national and local public health authority. Many countries around the world have seen cases of COVID-19 and several have seen outbreaks. Authorities in China and some other countries have succeeded in slowing or stopping their outbreaks. However, the situation is unpredictable so check regularly for the latest news.

You can reduce your chances of being infected or spreading COVID-19 by taking some simple precautions:

    Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water.
    Why? Washing your hands with soap and water or using alcohol-based hand rub kills viruses that may be on your hands.
    Maintain at least 1 metre (3 feet) distance between yourself and anyone who is coughing or sneezing.
    Why? When someone coughs or sneezes they spray small liquid droplets from their nose or mouth which may contain virus. If you are too close, you can breathe in the droplets, including the COVID-19 virus if the person coughing has the disease.
    Avoid touching eyes, nose and mouth.
    Why? Hands touch many surfaces and can pick up viruses. Once contaminated, hands can transfer the virus to your eyes, nose or mouth. From there, the virus can enter your body and can make you sick.
    Make sure you, and the people around you, follow good respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately.
    Why? Droplets spread virus. By following good respiratory hygiene you protect the people around you from viruses such as cold, flu and COVID-19.
    Stay home if you feel unwell. If you have a fever, cough and difficulty breathing, seek medical attention and call in advance. Follow the directions of your local health authority.
    Why? National and local authorities will have the most up to date information on the situation in your area. Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also protect you and help prevent spread of viruses and other infections.
    Keep up to date on the latest COVID-19 hotspots (cities or local areas where COVID-19 is spreading widely). If possible, avoid traveling to places especially if you are an older person or have diabetes, heart or lung disease.
    Why? You have a higher chance of catching COVID-19 in one of these areas.""",Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water.,,,,,
,What are more ways to protect myself,,Maintain at least 1 metre (3 feet) distance between yourself and anyone who is coughing or sneezing.,,,,,
,Suggest more ways to protect myself,,"Avoid touching eyes, nose and mouth.",,,,,
,How to cover my mouth,,"Make sure you, and the people around you, follow good respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze",,,,,
,When should I stay at home,,"Stay home if you feel unwell. If you have a fever, cough and difficulty breathing, seek medical attention",,,,,
,whe should I avoid travel,,"avoid traveling to places especially if you are an older person or have diabetes, heart or lung disease.",,,,,
,Protection measures for persons who are in or have recently visited (past 14 days) areas where COVID-19 is spreading,"Follow the guidance outlined above (Protection measures for everyone)
    Self-isolate by staying at home if you begin to feel unwell, even with mild symptoms such as headache, low grade fever (37.3 C or above) and slight runny nose, until you recover. If it is essential for you to have someone bring you supplies or to go out, e.g. to buy food, then wear a mask to avoid infecting other people.
    Why? Avoiding contact with others and visits to medical facilities will allow these facilities to operate more effectively and help protect you and others from possible COVID-19 and other viruses.
    If you develop fever, cough and difficulty breathing, seek medical advice promptly as this may be due to a respiratory infection or other serious condition. Call in advance and tell your provider of any recent travel or contact with travelers.
    Why? Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also help to prevent possible spread of COVID-19 and other viruses.
",Self-isolate by staying at home if you begin to feel unwell,,,,,
,Whe should I seek medical advice,,"If you develop fever, cough and difficulty breathing, seek medical advice promptly",,,,,
,How likely am I to catch covid-19,"The risk depends on where you  are - and more specifically, whether there is a COVID-19 outbreak unfolding there.

For most people in most locations the risk of catching COVID-19 is still low. However, there are now places around the world (cities or areas) where the disease is spreading. For people living in, or visiting, these areas the risk of catching COVID-19 is higher. Governments and health authorities are taking vigorous action every time a new case of COVID-19 is identified. Be sure to comply with any local restrictions on travel, movement or large gatherings. Cooperating with disease control efforts will reduce your risk of catching or spreading COVID-19.

COVID-19 outbreaks can be contained and transmission stopped, as has been shown in China and some other countries. Unfortunately, new outbreaks can emerge rapidly. It’s important to be aware of the situation where you are or intend to go. WHO publishes daily updates on the COVID-19 situation worldwide.

You can see these at https://www.who.int/emergencies/diseases/novel-coronavirus-2019/situation-reports/ ","The risk depends on where you  are - and more specifically, whether there is a COVID-19 outbreak unfolding there",,,,,
,Who is at high risk of developing covid-19,,"there are now places around the world (cities or areas) where the disease is spreading. For people living in, or visiting, these areas the risk of catching COVID-19 is higher",,,,,
,Should I worry about covid-19,"Illness due to COVID-19 infection is generally mild, especially for children and young adults. However, it can cause serious illness: about 1 in every 5 people who catch it need hospital care. It is therefore quite normal for people to worry about how the COVID-19 outbreak will affect them and their loved ones.
We can channel our concerns into actions to protect ourselves, our loved ones and our communities. First and foremost among these actions is regular and thorough hand-washing and good respiratory hygiene. Secondly, keep informed and follow the advice of the local health authorities including any restrictions put in place on travel, movement and gatherings.

Learn more about how to protect yourself at https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public","Illness due to COVID-19 infection is generally mild, especially for children and young adults",,,,,
,I am worried about covid-19,,"quite normal for people to worry about how the COVID-19 outbreak will affect them and their loved ones.
We can channel our concerns into actions to protect ourselves, our loved ones and our communities",,,,,
,Who is at risk of developing severe illness,"While we are still learning about how COVID-2019 affects people, older persons and persons with pre-existing medical conditions (such as high blood pressure, heart disease, lung disease, cancer or diabetes)  appear to develop serious illness more often than others. ","persons with pre-existing medical conditions (such as high blood pressure, heart disease, lung disease, cancer or diabetes) ",,,,,
,Are antibiotics effective in preventing or treating the covid-19,"No. Antibiotics do not work against viruses, they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work. Antibiotics should not be used as a means of prevention or treatment of COVID-19. They should only be used as directed by a physician to treat a bacterial infection.",No,,,,,
,Why antibiotics are not effective in preventing corona virus,,No. Antibiotics do not work against viruses,,,,,
,Why antibiotics are not effective in preventing covid-19,,"No. Antibiotics do not work against viruses, they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work",,,,,
,Are there any medicines or therapies that can prevent or cure covid-19,"While some western, traditional or home remedies may provide comfort and alleviate symptoms of COVID-19, there is no evidence that current medicine can prevent or cure the disease. WHO does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. However, there are several ongoing clinical trials that include both western and traditional medicines. WHO will continue to provide updated information as soon as clinical findings are available.",there is no evidence that current medicine can prevent or cure the disease,,,,,
,"Is there a vaccine, drug or treatment for covid-19","Not yet. To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019. However, those affected should receive care to relieve symptoms. People with serious illness should be hospitalized. Most patients recover thanks to supportive care",Not yet,,,,,
,Is covid-19 the same as sars,"No. The virus that causes COVID-19 and the one that caused the outbreak of Severe Acute Respiratory Syndrome (SARS) in 2003 are related to each other genetically, but the diseases they cause are quite different.",No,,,,,
,Should I wear a mask to protect myself,"Only wear a mask if you are ill with COVID-19 symptoms (especially coughing) or looking after someone who may have COVID-19. Disposable face mask can only be used once. If you are not ill or looking after someone who is ill then you are wasting a mask. There is a world-wide shortage of masks, so WHO urges people to use masks wisely.",Only wear a mask if you are ill with COVID-19 symptoms,,,,,
,When should I wear a mask to protect myself,,wear a mask if you are ill with COVID-19 symptoms (especially coughing) or looking after someone who may have COVID-19,,,,,
,"How to put on, use, take off and dispose of a mask","    Remember, a mask should only be used by health workers, care takers, and individuals with respiratory symptoms, such as fever and cough.
    Before touching the mask, clean hands with an alcohol-based hand rub or soap and water
    Take the mask and inspect it for tears or holes.
    Orient which side is the top side (where the metal strip is).
    Ensure the proper side of the mask faces outwards (the coloured side).
    Place the mask to your face. Pinch the metal strip or stiff edge of the mask so it moulds to the shape of your nose.
    Pull down the mask’s bottom so it covers your mouth and your chin.
    After use, take off the mask; remove the elastic loops from behind the ears while keeping the mask away from your face and clothes, to avoid touching potentially contaminated surfaces of the mask.
    Discard the mask in a closed bin immediately after use.
    Perform hand hygiene after touching or discarding the mask – Use alcohol-based hand rub or, if visibly soiled, wash your hands with soap and water.","Before touching the mask, clean hands with an alcohol-based hand rub or soap and water",,,,,
,How long in incubation period for covid-19,"The “incubation period” means the time between catching the virus and beginning to have symptoms of the disease. Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days. These estimates will be updated as more data become available.",1-14 days,,,,,
,How long in incubation period for corona,, Most estimates of the incubation period for COVID-19 range from 1-14 days,,,,,
,Can humans become infected with the COVID-19 from an animal source?,"Coronaviruses are a large family of viruses that are common in animals. Occasionally, people get infected with these viruses which may then spread to other people. For example, SARS-CoV was associated with civet cats and MERS-CoV is transmitted by dromedary camels. Possible animal sources of COVID-19 have not yet been confirmed. While there has been one instance of a dog being infected in Hong Kong, to date, there is no evidence that a dog, cat or any pet can transmit COVID-19. COVID-19 is mainly spread through droplets produced when an infected person coughs, sneezes, or speaks. To protect yourself, clean your hands frequently and thoroughly. 

WHO continues to monitor the latest research on this and other COVID-19 topics and will update as new findings are available.",Occasionally,,,,,
,Can I catch covid-19 from my pet,,"While there has been one instance of a dog being infected in Hong Kong, to date, there is no evidence that a dog, cat or any pet can transmit COVID-19. COVID-19 is mainly spread through droplets produced when an infected person coughs, sneezes, or speaks. To protect yourself, clean your hands frequently and thoroughly.",,,,,
,How long does the virus survive on surfaces,"It is not certain how long the virus that causes COVID-19 survives on surfaces, but it seems to behave like other coronaviruses. Studies suggest that coronaviruses (including preliminary information on the COVID-19 virus) may persist on surfaces for a few hours or up to several days. This may vary under different conditions (e.g. type of surface, temperature or humidity of the environment).",few hours or up to several days,,,,,
,Is it safe to receive a package from any area where COVID-19 has been reported?,"Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low. ",Yes,,,,,
,,,,,,,,
,Is it possible to be infected with the new coronavirus in Switzerland?,,"Yes, and the risk of becoming infected with coronavirus in Switzerland is increasing.",,,,,
,How is the new coronavirus transmitted?,,"By close and prolonged contact: If you’re closer than two metres to a person who has con-tracted the illness.

By droplet infection: If one person sneezes or coughs, the virus can be transported directly to the mucous membranes in the nose, mouth or eyes of other people.

Via your hands: Infectious droplets can get onto your hands from coughing and sneezing. Or you come into contact with a surface contaminated with the virus They can then get into your system if you touch your mouth, nose or eyes.",,,,,
,Why is it important to follow rules on hygiene and how to behave around others?,,"We are dealing with a new virus against which humans have not yet developed immunity. That is why so many people are being infected and developing the disease, and why the spread of the new coronavirus must be delayed as far as possible.

In particular those at high risk of becoming seriously ill must be protected. These include people over the age of 65, and those with underlying health conditions (high blood pressure, diabetes, cardiovascular diseases, chronic respiratory diseases, cancer) and those with diseases or receiving treatments that weaken the immune system.

If we follow all of the rules (see «Protect yourself and others»), we can reduce the risk of exposing these people to the infection. That way we can also ensure that our health system is able to continue to provide good treatment to those who are seriously ill. This is important because intensive care units only have a limited number of beds and ventilators.",,,,,
,How long is the period between infection and the appearance of symptoms? And when do people become contagious?,,"The new coronavirus has an incubation period – i.e. the time between infection and the appearance of the first symptoms – of around five days. However, this period can last up to 14 days.

Anyone contracting the new coronavirus is infectious for a long time. Namely:

A day before symptoms appear, so before you even notice that you’ve contracted the disease;.
While you are experiencing symptoms of the illness. That is when you are most infectious.
Until at least 48 hours after you have recovered.",,,,,
,What do you have to do if you have been in contact with someone infected with the new coronavirus?,,"If you have been in close contact with someone who has been confirmed as having the coronavirus (distance of less than 2 metres for more than 15 minutes), but who is not living in the same household as you, and with whom you have not had intimate relations: Monitor your condition.

If you don’t have any symptoms (cough [dry cough], sore throat, shortness of breath and/or high temperature, feverishness or muscle ache): Monitor your condition to see if you develop any symptoms.

If you have mild symptoms (cough [dry cough], sore throat, shortness of breath and/or high temperature, feverishness or muscle ache): Isolate yourself at home until you are free of symptoms. Wait a further 48 hours before going out in public (see info on ‘Self-isolation and self-quarantine’).

If your symptoms get worse (fever, shortness of breath or difficulty breathing) or if you have an underlying medical condition and are therefore at especially high risk: Call a doctor or healthcare institution. They will then decide if you need a medical examination, or if it is enough just to stay at home in isolation (see info on ‘Self-isolation and self-quarantine’).

If you live in the same household as someone who is infected, or with whom you have had intimate relations: Stay at home in quarantine for ten days (see info on ‘Self-isolation and self-quarantine’). Monitor your condition to see if you develop any symptoms (high temperature and cough). Follow the advice above.",,,,,
,Can the new coronavirus be transmitted by packages or imports of goods?,,"As a rule, a virus can only survive a few hours on objects. This means that packages (such as toys and other items) taking several days to get here are harmless.",,,,,
,Can the new coronavirus be transmitted via foodstuffs?,,"So far there are no known cases of the new coronavirus being transmitted through food or drinking water.

If you want to be quite sure, wash and heat foods properly. You will find more information at www.sichergeniessen.ch.

More detailed information on food and nutrition can be found on the website of the Federal Food Safety and Veterinary Office (FSVO) (in German, French or Italian).

The general rules on hygiene and social distancing are set out in our campaign ‘Protect yourself and others",,,,,
,"How great is the risk that pets (cats, dogs, rabbits, etc.) will be infected by the coronavirus?",,"At present we do not have complete information to answer this question. However, scientists believe the risk is only very small.

If a pet lives together in the same home with someone who has coronavirus disease, it might possibly become infected with the virus or contaminated. The animals themselves will not display any symptoms of illness; in other words they will not contract the disease.

More detailed information on handling animals can be found on the website of the Federal Food Safety and Veterinary Office FSVO (in German, French or Italian).",,,,,
,What should pet owners do if they are put in isolation at home?,,"Pet owners in this situation must as far as possible avoid contact with their pets (cats, dogs, rabbits, etc.). They should have a healthy person look after their animals.

If dogs have to go outside, they should be kept on a lead and stay outdoors only briefly. If possible the person accompanying them should avoid contact with other people and animals.

Dogs and cats from a household in quarantine do not have to be specially bathed or disinfected.

The following rule applies to everyone: wash your hands after contact with an animal.

More detailed information on handling animals during this extraordinary situation due to the coronavirus can be found on the Federal Food Safety and Veterinary Office FSVO (in German, French or Italian).",,,,,
,"Can the coronavirus be transmitted via door handles, mobile phones or other everyday objects?",,"Yes. If a person infected with coronavirus sneezes or coughs into the air, instead of into a tissue or the crook of their arm, droplets containing the virus land on surfaces. If you then come into contact with these surfaces and touch your eyes, nose or mouth with your hand, the virus can get into your body and you can become infected.

Important:

Wash your hands regularly and thoroughly with soap and water.
Avoid touching your face.
Cough or sneeze into a paper tissue or the crook of your arm.
Wash your hands every time you cough or sneeze..",,,,,
,What surfaces can the coronavirus attach itself to? And how long does it remain infectious?,,"The virus can cling to surfaces and objects.

At the moment, there are no clear indications as to how long the virus can remain infectious on different surfaces.

Important: Regularly clean objects or surfaces that you touch frequently. Use a regular cleaning product.",,,,,
, Can I still give blood?,,"Even in the current situation with the coronavirus, people who are seriously ill or injured need blood transfusions.

If you are healthy, you can still give blood as usual. Blood donation centres guarantee that they will comply with the rules on hygiene and social distancing while you are giving blood.

Please be sure to arrange an appointment before going to a blood donation centre. You will find a list of opening hours for blood donation centres and mobile blood donation campaigns at",,,,,
, Can the coronavirus be passed on through the blood?,,There are no indications that the coronavirus can be passed on through the blood. The transmission of the virus via donated blood is therefore highly unlikely,,,,,
,Am I at especially high risk of becoming seriously ill with COVID-19 if I’m pregnant?,,"There is no evidence at present that healthy pregnant women are at especially high risk of becoming seriously ill. Nevertheless, if you are pregnant you should take every precaution to protect yourself from becoming infected as an acute illness – particularly a cough and high temperature – can have an impact on the pregnancy.

We therefore recommend that you strictly follow the rules on hygiene and social distancing.

Your employer is responsible for implementing protective measures in the workplace.",,,,,
,I’m pregnant and have questions about the coronavirus. Who should I contact?,,"If you have specific questions about your pregnancy, please contact your gynaecologist or midwife. They can assess your situation and discuss any measures you need to take.

If you experience any symptoms that could indicate a coronavirus infection, call your gynaecologist to discuss further steps.",,,,,
,I’ve contracted the coronavirus and am expecting a child. Is my baby at risk?,,"There is currently no evidence that babies have become infected with the new coronavirus during pregnancy when the mother had contracted COVID-19 before the birth. So far, no viruses have been detected in a mother’s amniotic fluid or breast milk.

However, the new-born baby can become infected after birth via droplets (coughing, sneezing, kissing). However, there is currently no evidence that new-born babies are at increased risk of severe illness.

You can still breastfeed your baby, but it is important that you follow the special hygiene rules. These can protect your new-born child from infection.",,,,,
,I’m pregnant and have been in contact with someone infected with the coronavirus. What should I do?,,"First and foremost the same rules apply as for everyone else: you have to place yourself in quarantine.
If you experience symptoms of illness (shortness of breath, cough, high temperature), contact your gynaecologist immediately to discuss the necessary steps.",,,,,
,I’m pregnant and am in a high-risk group as I have an underlying medical condition. What should I do?,,"If you are expecting and have an underlying medical condition, contracting the new coronavirus could be harmful to you. You would therefore be categorised as being at especially high risk.

We would strongly urge you to follow our recommendations for people at especially high risk.
If you experience symptoms of illness, contact your gynaecologist immediately to discuss the necessary steps.",,,,,
,I’m pregnant and infected with the new coronavirus and the baby is due. What should I do?,,"You should self-isolate at home and notify your gynaecologist straight away, as well as the hospital where you are due to give birth. If you have to go to the hospital or medical practice before the due date, or as an emergency case, call beforehand and tell them that you have tested positive for coronavirus. You will then be told what to do next. Travel to the appointment by car if at all possible.",,,,,
,I’m pregnant and still going to work. Does that pose a threat to me and my unborn child?,,"There is no evidence at present that pregnant women are at higher risk of contracting the new coronavirus. Pregnant women can still go to work as long as their employer respects the applicable rules on hygiene and social distancing. If these measures are not observed in the workplace, pregnant women are afforded special protection under the Maternity Health and Safety Ordinance.",,,,,
,What are the symptoms of coronavirus disease?,,"The symptoms are very variable, non-specific and can vary in severity. The following symptoms can occur:

Cough (usually dry)
Sore throat
Shortness of breath
High temperature, feverishness
Muscle ache
More rarely:

Headache
Gastrointestinal symptoms
Conjunctivitis
Head cold
Loss of sense of smell and/or taste
Complications such as pneumonia are also possible.

Nor everyone with symptoms will be tested for the new coronavirus. However, if you experience one or more of the above symptoms, there is a high likelihood that you have contracted the new coronavirus.

You have to stay at home for 10 days once one of these symptoms occurs. Follow the instructions on self-isolation. Avoid all contact with other people during this time. Stay at home for a further 48 hours after you have recovered.

Most people will only experience a mild illness. However, in particular those over the age of 65, or those with an underlying medical condition could become seriously ill. Further information can be found under People at especially high risk and COVID-19, symptoms and treatment, origins of the new coronavirus.",,,,,
,I have a high temperature and a cough. What should I do?,,"As well as a cough and/or a high temperature, other indications of a coronavirus infection may include a sore throat, shortness of breath, feverishness or muscle ache.

You can be infected with coronavirus without experiencing strong symptoms. Sometimes only one of the symptoms may occur.

If you experience one of these symptoms, you must self-isolate at home so as not to infect other people. Avoid contact with other people as much as possible. If you only experience mild symptoms, you can look after yourself at home. Please follow the instructions provided under self-isolation and self-quarantine.

If you are at high risk of becoming seriously ill or your symptoms get worse, call your doctor. They will then decide whether you need a medical examination or whether it is sufficient for you to stay at home and nurse yourself.",,,,,
,What should I do if I’ve been in contact with a person displaying coronavirus symptoms?,,"Do you live in the same household as this person?

Or have you had physical contact (e.g. hug, kiss) with someone who then experienced coronavirus symptoms 24 hours later?

If the answer to either of those questions is ‘yes’, there is a high likelihood that that you have contracted the virus. It is therefore important that you don’t infect anyone else. Quarantine yourself at home.

You can find information on what that involves under Self-isolation and Self-quarantine. Carefully follow the instructions.",,,,,
,How is an infection with the new coronavirus detected?,,"Every suspected case of infection with the new coronavirus must be investigated by a doctor. The doctor will ask questions about travel, contact with other people and symptoms such as fever, coughing or respiratory problems.

Laboratory testing is the only way of obtaining conclusive confirmation. A lab test can be done, for example, with a nose and throat swab (nasopharyngeal swab). If the lab confirms infection, the person who has contracted the disease will be isolated in accordance with the cantonal medical officer’s instructions.",,,,,
,What treatment is there for the new coronavirus disease?,,"At the moment there is no specific treatment for the disease caused by the coronavirus. Treatment is limited to easing the symptoms. To protect other people, those infected are placed in isolation. In serious cases, patients usually require intensive care, which may involve artificial ventilation.",,,,,
,Can COVID-19 (new coronavirus disease) be treated with antibiotics?,,"No. Antibiotics only work for bacteria, not viruses. For this reason it is not possible to cure the new coronavirus disease with antibiotics.",,,,,
,Is there a connection between Ibuprofen and COVID-19?,,"There is no scientific data to indicate that such a connection exists at the present time. There is no demonstrable proof that Ibuprofen has an effect on the progression of COVID-19.

Instead it is important to know whether patients ill with COVID-19 have any pre-existing conditions or are currently suffering from any other diseases. As is always the case, the treatment will then be carefully adapted to the patient’s situation.

We recommend that you always keep a list of any medication that you have taken. You should list any medication prescribed by a doctor, as well as any medication you have taken yourself.",,,,,
,"What is ’self-isolation’, and what does it involve for me?",,"If someone experiences minor symptoms of illness (a cough (irritating dry cough), sore throat, shortness of breath and/or high temperature, feverishness, muscle ache), they will not be tested for the novel coronavirus (unless they are at risk because they have an underlying, pre-existing condition). This person then remains voluntarily in so-called self-isolation at home, minimising their contact with other people, including those living in the same household. This way they can avoid infecting others.

You can end the period of self-isolation yourself once you have been free of symptoms for 48 hours (see the page on ‘Self-isolation and self-quarantine’).

People with symptoms of illness for whom a doctor has decided a test is necessary: If the test is positive, the person remains isolated until 48 hours after they have recovered, and at least ten days from the moment their symptoms of illness appeared (see the fact sheet on ‘self-isolation’ further down in the Documents tab). Because it is not clear when the risk of passing on the infection ends, even after this they should continue to follow the rules of hygiene and how to behave.",,,,,
,"What is quarantine, and what do I have to bear in mind?",,"In voluntary quarantine, the people who live with or have intimate contact with a person with the disease stay at home voluntarily and minimise their contact with other people (see the page on ‘Self-isolation and self-quarantine’ and the fact sheet on ‘Self-quarantine’ further down in the Documents tab).

If members of a family living together in the same household are in voluntary quarantine, the healthy members can continue to have contact with each other. The person with the disease, however, should remain in self-isolation and avoid contact with the others (see the page on ‘Self-isolation and self-quarantine’ and the fact sheet on ‘Self-isolation’ further down in the Documents tab).

The healthy family members can come out of quarantine if they have not developed symptoms after ten days. Ten days is the period within which most people display the first symptoms.

If symptoms of illness arise during quarantine, the person affected must also go into self-isolation. They only have to go to the doctor if their state of health requires or if they are a person at especially high risk.",,,,,
,Should I wear a hygienic mask?,,"No, healthy people should not wear hygiene masks (surgical masks) in public. If you are in good health, they do not protect you effectively from infection with respiratory viruses (i.e. for your own protection). Wearing a mask can therefore give you a false sense of security.
Excluded from this recommendation:

If you have a respiratory condition: A face mask can prevent someone who is ill from infecting others. This means you should wear one if you cannot keep at least two metres away from other people (e.g. at home, at the doctor’s, pharmacy, or when using public transport to get to and from a visit to the doctor).
If you have to wear a mask at work, e.g. healthcare personnel or care workers looking after people in poor health.
Bear in mind: If you see someone wearing a face mask, it doesn’t mean that the person is infected with the coronavirus. There maybe various reasons for wearing a mask. Whatever the reason, be friendly and supportive.",,,,,
,How can the new coronavirus be rendered harmless?,,"If clothes or body parts have been contaminated with the new coronavirus (for example by excretions), you should wash them with soap and water. You can clean objects and surfaces with commercially available cleaning agents.",,,,,
,How can the coronavirus be removed from surfaces or laundry?,,"To be on the safe side, clean household appliances and surfaces that could be contaminated with the virus – and that you use or touch often – regularly and thoroughly. You can use a regular cleaning product.

Wash crockery, glasses, cups and kitchen utensils in the dishwasher or by hand with washing-up liquid after use.

Wash your clothing, bed linen and bath towels regularly in the washing machine.",,,,,
, Does a private meal with friends count as a prohibited event?,,"Private meals do not fall under the ban. But in this critical situation, we must all keep our social interactions to an absolute minimum. We are therefore appealing to your sense of responsibility: avoid all social interaction that is not absolutely necessary.

Follow the rules on hygiene and keep a distance of at least 2 metres from others at all times.",,,,,
, Can I still meet up with my friends?,,"As a general rule, stay at home. Particularly if you are ill or over the age of 65, you should only leave the home in exceptional circumstances.

Gatherings of more than five people in public are prohibited. This rule also applies to large families or households. The police can issue you with a fine if you do not follow these rules.

If you do meet up with up to four other friends, you must also keep a distance of at least two metres. Naturally, normal contact such as a mother holding hands with her child or a husband supporting his sight-impaired wife while out walking, is still allowed.

Keep your social interactions to an absolute minimum. That means:

No drinks after work with our colleagues
No private parties
No playing soccer with friends
No invitations to children’s birthday parties
Do not meet in groups of more than five people and keep at least two metres apart and follow the rules on hygiene and social distancing.",,,,,
, Are children still allowed to meet up with friends to play?,,"We understand that looking after children poses a challenge in the current situation. However, it is important that no large groups of children gather in parks or other public spaces. Gatherings of small groups of no more than five children are permitted. But it is important that parents or other adults do not gather too. Older people or those at especially high risk are not allowed to have contact with children.",,,,,
," Can I still go to a concert, the theatre, a party or an open day?",,"No, that’s not possible right now. The following events, for example, are not permitted:

Concerts
Conferences
Theatre performances
Cinema performances
Circuses
Parties
Sports events
Demonstrations
Street or village parties
Fairs and farmers’ markets
Company events
Open days",,,,,
, We are organising a demonstration – it that still ok?,,"No, organising or participating in demonstrations is not allowed.",,,,,
